host,duration,status,taskMetrics.executorCpuTime,taskMetrics.executorDeserializeCpuTime,taskMetrics.shuffleWriteMetrics.writeTime
hdc49-mcc10-01-0910-1710-032-tess0028.stratus.rno.ebay.com,40305,SUCCESS,39363,3783737,1424736019
hdc49-mcc10-01-0710-2510-036-tess0035.stratus.rno.ebay.com,39918,SUCCESS,38918,4878427,1198320883
hdc49-mcc10-01-0710-2605-004-tess0035.stratus.rno.ebay.com,39455,SUCCESS,38760,5664265,1227601124
hdc49-mcc10-01-0710-1804-017-tess0035.stratus.rno.ebay.com,38564,SUCCESS,37756,3758861,1397123230
hdc49-mcc10-01-0910-1901-027-tess0028.stratus.rno.ebay.com,38192,SUCCESS,37336,4238160,1090426334
hdc49-mcc10-01-0710-4102-015-tess0035.stratus.rno.ebay.com,38038,SUCCESS,37018,3342574,1017023074
hdc49-mcc10-01-0710-3908-030-tess0035.stratus.rno.ebay.com,37629,SUCCESS,36817,4717291,1093376212
hdc49-mcc10-01-0910-1701-026-tess0028.stratus.rno.ebay.com,37173,SUCCESS,36469,3906326,1100058047
hdc49-mcc10-01-0710-2102-005-tess0035.stratus.rno.ebay.com,37159,SUCCESS,36430,3325252,1465426182
hdc49-mcc10-01-0710-4102-016-tess0035.stratus.rno.ebay.com,36931,SUCCESS,36096,5004042,1101351605
hdc49-mcc10-01-0710-3503-039-tess0035.stratus.rno.ebay.com,36916,SUCCESS,35640,3634560,1677118021
