host,duration,status,taskMetrics.shuffleWriteMetrics.bytesWritten.rateInKB
hdc49-mcc10-01-0910-1701-012-tess0028.stratus.rno.ebay.com,269234,SUCCESS,280.7096700974154
hdc49-mcc10-01-0710-2603-027-tess0035.stratus.rno.ebay.com,280078,SUCCESS,269.82839064137556
hdc49-mcc10-01-0710-3503-034-tess0035.stratus.rno.ebay.com,294581,SUCCESS,256.47986914947154
hdc49-mcc10-01-0710-2605-017-tess0035.stratus.rno.ebay.com,300567,SUCCESS,251.42187791612233
hdc49-mcc10-01-0710-3709-004-tess0035.stratus.rno.ebay.com,301362,SUCCESS,250.72727242509455
hdc49-mcc10-01-0710-4102-007-tess0035.stratus.rno.ebay.com,302264,SUCCESS,249.98907100203468
hdc49-mcc10-01-0710-3302-029-tess0035.stratus.rno.ebay.com,304481,SUCCESS,248.12172519967893
hdc49-mcc10-01-0710-2102-039-tess0035.stratus.rno.ebay.com,310763,SUCCESS,243.20662790023016
hdc49-mcc10-01-0710-3302-016-tess0035.stratus.rno.ebay.com,315931,SUCCESS,239.17305857176825
hdc49-mcc10-01-0710-2603-003-tess0035.stratus.rno.ebay.com,317333,SUCCESS,238.03567506154138
hdc49-mcc10-01-0710-1903-032-tess0035.stratus.rno.ebay.com,329733,SUCCESS,229.0465848035985
hdc49-mcc10-01-0910-1710-001-tess0028.stratus.rno.ebay.com,332025,SUCCESS,227.4962992453718
hdc49-mcc10-01-0710-2104-031-tess0035.stratus.rno.ebay.com,333680,SUCCESS,226.38988102384326
hdc49-mcc10-01-0710-3709-036-tess0035.stratus.rno.ebay.com,334368,SUCCESS,225.93751104481726
hdc49-mcc10-01-0710-3709-024-tess0035.stratus.rno.ebay.com,338820,SUCCESS,222.88307427669554
hdc49-mcc10-01-0710-1902-038-tess0035.stratus.rno.ebay.com,343610,SUCCESS,219.81042004855345
hdc49-mcc10-01-0910-1803-014-tess0028.stratus.rno.ebay.com,351735,SUCCESS,214.71667387888036
hdc49-mcc10-01-0910-1803-003-tess0028.stratus.rno.ebay.com,352732,SUCCESS,214.05393542965513
hdc49-mcc10-01-0710-3409-011-tess0035.stratus.rno.ebay.com,356970,SUCCESS,211.53548434155414
hdc49-mcc10-01-0910-1901-034-tess0028.stratus.rno.ebay.com,361346,SUCCESS,208.9038031443909
