host,duration,status,taskCpuRate,taskMetrics.executorRunTime,taskMetrics.executorCpuTime
hdc49-mcc10-01-0710-2605-024-tess0035.stratus.rno.ebay.com,85100,SUCCESS,0.9633164401079903,84452,81354
hdc49-mcc10-01-0910-2703-032-tess0028.stratus.rno.ebay.com,137838,SUCCESS,0.9610921601212863,137196,131858
hdc49-mcc10-01-0710-3708-005-tess0035.stratus.rno.ebay.com,93010,SUCCESS,0.9607864365675681,92366,88744
hdc49-mcc10-01-0710-2003-035-tess0035.stratus.rno.ebay.com,79869,SUCCESS,0.9598737772167877,79225,76046
hdc49-mcc10-01-0710-3409-022-tess0035.stratus.rno.ebay.com,97835,SUCCESS,0.9581335528346537,97190,93121
hdc49-mcc10-01-0710-2603-023-tess0035.stratus.rno.ebay.com,161225,SUCCESS,0.9575880623785561,160568,153758
hdc49-mcc10-01-0710-3708-016-tess0035.stratus.rno.ebay.com,97738,SUCCESS,0.9573913670398484,97093,92956
hdc49-mcc10-01-0710-1902-033-tess0035.stratus.rno.ebay.com,155280,SUCCESS,0.9569606663821091,154626,147971
hdc49-mcc10-01-0910-1803-038-tess0028.stratus.rno.ebay.com,100847,SUCCESS,0.9562682797791953,100179,95798
hdc49-mcc10-01-0710-4205-016-tess0035.stratus.rno.ebay.com,90477,SUCCESS,0.9518048128342246,89760,85434
hdc49-mcc10-01-0910-1701-007-tess0028.stratus.rno.ebay.com,97768,SUCCESS,0.9508184906825904,97130,92353
hdc49-mcc10-01-0710-3804-008-tess0035.stratus.rno.ebay.com,88678,SUCCESS,0.9503294705748694,88020,83648
hdc49-mcc10-01-0710-4205-002-tess0035.stratus.rno.ebay.com,95155,SUCCESS,0.9498021289653567,94506,89762
hdc49-mcc10-01-0710-4205-022-tess0035.stratus.rno.ebay.com,90411,SUCCESS,0.9487222333622976,89766,85163
hdc49-mcc10-01-0710-3302-032-tess0035.stratus.rno.ebay.com,116025,SUCCESS,0.9470390402884682,115368,109258
hdc49-mcc10-01-0710-3509-035-tess0035.stratus.rno.ebay.com,101462,SUCCESS,0.9463995239039873,100820,95416
hdc49-mcc10-01-0710-3804-039-tess0035.stratus.rno.ebay.com,108165,SUCCESS,0.9420381513964974,107519,101287
hdc49-mcc10-01-0710-2202-026-tess0035.stratus.rno.ebay.com,119096,SUCCESS,0.9302470908138966,118418,110158
hdc49-mcc10-01-0710-3908-015-tess0035.stratus.rno.ebay.com,107578,SUCCESS,0.9290256813123094,106926,99337
hdc49-mcc10-01-0910-1901-024-tess0028.stratus.rno.ebay.com,114988,SUCCESS,0.9131583089920067,114346,104416
