host,duration,status,taskMetrics.executorCpuTime,taskMetrics.executorDeserializeCpuTime,taskMetrics.executorDeserializeTime
hdc49-mcc10-01-0710-3709-038-tess0035.stratus.rno.ebay.com,3088,SUCCESS,0,12587364,82
hdc49-mcc10-01-0710-1903-020-tess0035.stratus.rno.ebay.com,3073,SUCCESS,1,13444036,81
hdc49-mcc10-01-0710-3302-028-tess0035.stratus.rno.ebay.com,3072,SUCCESS,0,13045543,45
hdc49-mcc10-01-0710-3804-017-tess0035.stratus.rno.ebay.com,3069,SUCCESS,0,11594695,58
hdc49-mcc10-01-0710-2603-009-tess0035.stratus.rno.ebay.com,3067,SUCCESS,0,11402870,54
hdc49-mcc10-01-0710-1903-036-tess0035.stratus.rno.ebay.com,3066,SUCCESS,1,17124833,50
hdc49-mcc10-01-0710-2003-034-tess0035.stratus.rno.ebay.com,3065,SUCCESS,0,11228680,57
hdc49-mcc10-01-0710-3709-037-tess0035.stratus.rno.ebay.com,3064,SUCCESS,0,12484921,46
hdc49-mcc10-01-0910-1710-018-tess0028.stratus.rno.ebay.com,3062,SUCCESS,0,24247018,69
hdc49-mcc10-01-0710-2102-020-tess0035.stratus.rno.ebay.com,3061,SUCCESS,0,12300962,78
hdc49-mcc10-01-0910-1901-031-tess0028.stratus.rno.ebay.com,3057,SUCCESS,0,11224759,59
