Hosts,CpuTime(ms)
hdc49-mcc10-01-0710-2603-023-tess0035.stratus.rno.ebay.com,153758
hdc49-mcc10-01-0710-1902-033-tess0035.stratus.rno.ebay.com,147971
hdc49-mcc10-01-0910-2703-032-tess0028.stratus.rno.ebay.com,131858
hdc49-mcc10-01-0710-2202-026-tess0035.stratus.rno.ebay.com,110158
hdc49-mcc10-01-0710-3302-032-tess0035.stratus.rno.ebay.com,109258
hdc49-mcc10-01-0910-1901-024-tess0028.stratus.rno.ebay.com,104416
hdc49-mcc10-01-0710-3804-039-tess0035.stratus.rno.ebay.com,101287
hdc49-mcc10-01-0710-3908-015-tess0035.stratus.rno.ebay.com,99337
hdc49-mcc10-01-0710-3509-035-tess0035.stratus.rno.ebay.com,97025
hdc49-mcc10-01-0910-1803-038-tess0028.stratus.rno.ebay.com,95798
hdc49-mcc10-01-0710-3409-022-tess0035.stratus.rno.ebay.com,93121
hdc49-mcc10-01-0710-3708-016-tess0035.stratus.rno.ebay.com,92956
hdc49-mcc10-01-0910-1701-007-tess0028.stratus.rno.ebay.com,92353
hdc49-mcc10-01-0710-4205-002-tess0035.stratus.rno.ebay.com,89762
hdc49-mcc10-01-0710-3708-005-tess0035.stratus.rno.ebay.com,88744
hdc49-mcc10-01-0710-4205-016-tess0035.stratus.rno.ebay.com,85434
hdc49-mcc10-01-0710-4205-022-tess0035.stratus.rno.ebay.com,85163
hdc49-mcc10-01-0710-3804-008-tess0035.stratus.rno.ebay.com,83648
hdc49-mcc10-01-0710-2605-024-tess0035.stratus.rno.ebay.com,81354
hdc49-mcc10-01-0710-2003-035-tess0035.stratus.rno.ebay.com,76046
hdc49-mcc10-01-0910-2703-019-tess0028.stratus.rno.ebay.com,7900
hdc49-mcc10-01-0710-2102-009-tess0035.stratus.rno.ebay.com,7549
hdc49-mcc10-01-0710-2604-032-tess0035.stratus.rno.ebay.com,7205
hdc49-mcc10-01-0710-2102-011-tess0035.stratus.rno.ebay.com,7204
hdc49-mcc10-01-0710-2603-009-tess0035.stratus.rno.ebay.com,7202
hdc49-mcc10-01-0710-3509-017-tess0035.stratus.rno.ebay.com,7079
hdc49-mcc10-01-0710-3302-015-tess0035.stratus.rno.ebay.com,6917
hdc49-mcc10-01-0710-4205-023-tess0035.stratus.rno.ebay.com,6881
hdc49-mcc10-01-0710-2509-030-tess0035.stratus.rno.ebay.com,6864
hdc49-mcc10-01-0710-2605-033-tess0035.stratus.rno.ebay.com,6819
hdc49-mcc10-01-0710-3602-023-tess0035.stratus.rno.ebay.com,6738
hdc49-mcc10-01-0910-1803-031-tess0028.stratus.rno.ebay.com,6644
hdc49-mcc10-01-0710-3503-039-tess0035.stratus.rno.ebay.com,6617
hdc49-mcc10-01-0710-2605-006-tess0035.stratus.rno.ebay.com,6556
hdc49-mcc10-01-0710-4205-003-tess0035.stratus.rno.ebay.com,6475
hdc49-mcc10-01-0910-1710-015-tess0028.stratus.rno.ebay.com,6467
hdc49-mcc10-01-0710-1902-011-tess0035.stratus.rno.ebay.com,6423
hdc49-mcc10-01-0710-4105-010-tess0035.stratus.rno.ebay.com,6420
hdc49-mcc10-01-0910-1803-019-tess0028.stratus.rno.ebay.com,6285
hdc49-mcc10-01-0710-3602-039-tess0035.stratus.rno.ebay.com,6272
hdc49-mcc10-01-0710-2003-033-tess0035.stratus.rno.ebay.com,1964
hdc49-mcc10-01-0710-3709-037-tess0035.stratus.rno.ebay.com,1915
hdc49-mcc10-01-0710-2605-031-tess0035.stratus.rno.ebay.com,1843
hdc49-mcc10-01-0710-2604-029-tess0035.stratus.rno.ebay.com,1668
hdc49-mcc10-01-0710-2603-002-tess0035.stratus.rno.ebay.com,1630
hdc49-mcc10-01-0710-3306-017-tess0035.stratus.rno.ebay.com,1616
hdc49-mcc10-01-0710-2604-019-tess0035.stratus.rno.ebay.com,1579
hdc49-mcc10-01-0710-2605-020-tess0035.stratus.rno.ebay.com,1562
hdc49-mcc10-01-0710-3409-016-tess0035.stratus.rno.ebay.com,1558
hdc49-mcc10-01-0910-2703-018-tess0028.stratus.rno.ebay.com,1556
hdc49-mcc10-01-0910-1701-020-tess0028.stratus.rno.ebay.com,1554
hdc49-mcc10-01-0710-2603-039-tess0035.stratus.rno.ebay.com,1540
hdc49-mcc10-01-0710-2605-012-tess0035.stratus.rno.ebay.com,1537
hdc49-mcc10-01-0710-2509-033-tess0035.stratus.rno.ebay.com,1535
hdc49-mcc10-01-0710-4102-012-tess0035.stratus.rno.ebay.com,1528
hdc49-mcc10-01-0710-3908-001-tess0035.stratus.rno.ebay.com,1520
hdc49-mcc10-01-0710-2605-025-tess0035.stratus.rno.ebay.com,1491
hdc49-mcc10-01-0710-3503-010-tess0035.stratus.rno.ebay.com,1471
hdc49-mcc10-01-0710-4105-001-tess0035.stratus.rno.ebay.com,1462
hdc49-mcc10-01-0710-1903-020-tess0035.stratus.rno.ebay.com,1
hdc49-mcc10-01-0710-2603-016-tess0035.stratus.rno.ebay.com,1
hdc49-mcc10-01-0710-1903-036-tess0035.stratus.rno.ebay.com,1
