Hosts,CpuTime(ms)
hdc49-mcc10-01-0710-2003-007-tess0035.stratus.rno.ebay.com,86422
hdc49-mcc10-01-0710-2603-034-tess0035.stratus.rno.ebay.com,41088
hdc49-mcc10-01-0710-3509-009-tess0035.stratus.rno.ebay.com,35348
hdc49-mcc10-01-0710-3602-012-tess0035.stratus.rno.ebay.com,34417
hdc49-mcc10-01-0710-2102-005-tess0035.stratus.rno.ebay.com,33903
hdc49-mcc10-01-0710-2510-034-tess0035.stratus.rno.ebay.com,32519
hdc49-mcc10-01-0910-1710-012-tess0028.stratus.rno.ebay.com,32396
hdc49-mcc10-01-0710-3302-012-tess0035.stratus.rno.ebay.com,32137
hdc49-mcc10-01-0710-1902-037-tess0035.stratus.rno.ebay.com,31341
hdc49-mcc10-01-0710-3503-005-tess0035.stratus.rno.ebay.com,31234
hdc49-mcc10-01-0710-3804-021-tess0035.stratus.rno.ebay.com,31043
hdc49-mcc10-01-0710-3908-012-tess0035.stratus.rno.ebay.com,30590
hdc49-mcc10-01-0710-3602-018-tess0035.stratus.rno.ebay.com,30212
hdc49-mcc10-01-0710-2202-020-tess0035.stratus.rno.ebay.com,30090
hdc49-mcc10-01-0710-3302-002-tess0035.stratus.rno.ebay.com,29390
hdc49-mcc10-01-0710-1804-007-tess0035.stratus.rno.ebay.com,29334
hdc49-mcc10-01-0710-1903-029-tess0035.stratus.rno.ebay.com,28450
hdc49-mcc10-01-0710-2202-012-tess0035.stratus.rno.ebay.com,28129
hdc49-mcc10-01-0710-2102-022-tess0035.stratus.rno.ebay.com,27687
