accumulatorUpdates,attempt,duration,executorId,host,index,launchTime,speculative,status,taskId,taskLocality,taskMetrics.diskBytesSpilled,taskMetrics.executorBlockTime,taskMetrics.executorCpuTime,taskMetrics.executorDeserializeCpuTime,taskMetrics.executorDeserializeTime,taskMetrics.executorRunTime,taskMetrics.executorWaitTime,taskMetrics.inputMetrics.bytesRead,taskMetrics.inputMetrics.inputWaitTime,taskMetrics.inputMetrics.recordsRead,taskMetrics.jvmGcTime,taskMetrics.memoryBytesSpilled,taskMetrics.outputMetrics.bytesWritten,taskMetrics.outputMetrics.recordsWritten,taskMetrics.peakExecutionMemory,taskMetrics.resultSerializationTime,taskMetrics.resultSize,taskMetrics.shuffleReadMetrics.fetchWaitTime,taskMetrics.shuffleReadMetrics.localBlocksFetched,taskMetrics.shuffleReadMetrics.localBytesRead,taskMetrics.shuffleReadMetrics.recordsRead,taskMetrics.shuffleReadMetrics.remoteBlocksFetched,taskMetrics.shuffleReadMetrics.remoteBytesRead,taskMetrics.shuffleReadMetrics.remoteBytesReadToDisk,taskMetrics.shuffleWriteMetrics.bytesWritten,taskMetrics.shuffleWriteMetrics.recordsWritten,taskMetrics.shuffleWriteMetrics.writeTime
[],0,64218,645,hdc49-mcc10-01-0710-3804-026-tess0035.stratus.rno.ebay.com,0,2020-07-30T05:48:26.875GMT,False,RUNNING,25008772,PROCESS_LOCAL,532348574,0,0,0,0,0,0,1654203199,781,89020914,359,1610612736,0,0,138936320,0,0,0,0,0,0,0,0,0,0,0,0
[],0,62425,1072,hdc49-mcc10-01-0710-2202-013-tess0035.stratus.rno.ebay.com,1,2020-07-30T05:48:26.876GMT,False,RUNNING,25008773,PROCESS_LOCAL,266255006,0,0,0,0,0,0,1345872412,840,71579013,363,805306368,0,0,138936320,0,0,0,0,0,0,0,0,0,0,0,0
[],0,64295,926,hdc49-mcc10-01-0710-3709-036-tess0035.stratus.rno.ebay.com,2,2020-07-30T05:48:26.876GMT,False,RUNNING,25008774,PROCESS_LOCAL,532419806,0,0,0,0,0,0,1729644263,962,93607654,291,1610612736,0,0,138936320,0,0,0,0,0,0,0,0,0,0,0,0
[],0,64273,1583,hdc49-mcc10-01-0910-1803-016-tess0028.stratus.rno.ebay.com,3,2020-07-30T05:48:26.877GMT,False,RUNNING,25008775,PROCESS_LOCAL,532401484,0,0,0,0,0,0,1522695037,780,81622489,288,1610612736,0,0,138936320,0,0,0,0,0,0,0,0,0,0,0,0
[],0,65152,980,hdc49-mcc10-01-0710-2102-033-tess0035.stratus.rno.ebay.com,4,2020-07-30T05:48:26.877GMT,False,RUNNING,25008776,PROCESS_LOCAL,532416687,0,0,0,0,0,0,1628466168,783,87853378,249,1610612736,0,0,138936320,0,0,0,0,0,0,0,0,0,0,0,0
[],0,65291,486,hdc49-mcc10-01-0710-3708-011-tess0035.stratus.rno.ebay.com,5,2020-07-30T05:48:26.877GMT,False,RUNNING,25008777,PROCESS_LOCAL,532403927,0,0,0,0,0,0,1870594091,725,101360126,346,1610612736,0,0,138936320,0,0,0,0,0,0,0,0,0,0,0,0
[],0,63807,1266,hdc49-mcc10-01-0710-4205-012-tess0035.stratus.rno.ebay.com,6,2020-07-30T05:48:26.877GMT,False,RUNNING,25008778,PROCESS_LOCAL,532408772,0,0,0,0,0,0,1721048350,1009,93240461,425,1610612736,0,0,138936320,0,0,0,0,0,0,0,0,0,0,0,0
[],0,60525,74,hdc49-mcc10-01-0710-3708-022-tess0035.stratus.rno.ebay.com,7,2020-07-30T05:48:26.878GMT,False,RUNNING,25008779,PROCESS_LOCAL,532410917,0,0,0,0,0,0,1612042893,780,86761886,333,1610612736,0,0,138936320,0,0,0,0,0,0,0,0,0,0,0,0
[],0,61253,86,hdc49-mcc10-01-0710-1902-009-tess0035.stratus.rno.ebay.com,8,2020-07-30T05:48:26.878GMT,False,RUNNING,25008780,PROCESS_LOCAL,532389313,0,0,0,0,0,0,1521235388,882,81734166,603,1610612736,0,0,138936320,0,0,0,0,0,0,0,0,0,0,0,0
[],0,60553,957,hdc49-mcc10-01-0710-2202-004-tess0035.stratus.rno.ebay.com,9,2020-07-30T05:48:26.878GMT,False,RUNNING,25008781,PROCESS_LOCAL,532378908,0,0,0,0,0,0,1489616590,912,79615959,249,1610612736,0,0,138936320,0,0,0,0,0,0,0,0,0,0,0,0
[],0,64217,144,hdc49-mcc10-01-0710-2003-034-tess0035.stratus.rno.ebay.com,10,2020-07-30T05:48:26.878GMT,False,RUNNING,25008782,PROCESS_LOCAL,532379767,0,0,0,0,0,0,1549716085,662,83056132,397,1610612736,0,0,138936320,0,0,0,0,0,0,0,0,0,0,0,0
[],0,68959,1067,hdc49-mcc10-01-0910-1901-001-tess0028.stratus.rno.ebay.com,11,2020-07-30T05:48:26.879GMT,False,RUNNING,25008783,PROCESS_LOCAL,532371110,0,0,0,0,0,0,1511690924,1087,80845083,350,1610612736,0,0,138936320,0,0,0,0,0,0,0,0,0,0,0,0
[],0,64186,1315,hdc49-mcc10-01-0710-3602-018-tess0035.stratus.rno.ebay.com,12,2020-07-30T05:48:26.879GMT,False,RUNNING,25008784,PROCESS_LOCAL,532407693,0,0,0,0,0,0,1775720553,980,95625734,291,1610612736,0,0,138936320,0,0,0,0,0,0,0,0,0,0,0,0
[],0,61237,816,hdc49-mcc10-01-0710-3302-026-tess0035.stratus.rno.ebay.com,13,2020-07-30T05:48:26.879GMT,False,RUNNING,25008785,PROCESS_LOCAL,532373983,0,0,0,0,0,0,1539333724,1045,82425022,317,1610612736,0,0,138936320,0,0,0,0,0,0,0,0,0,0,0,0
[],0,64154,1003,hdc49-mcc10-01-0710-3908-034-tess0035.stratus.rno.ebay.com,14,2020-07-30T05:48:26.879GMT,False,RUNNING,25008786,PROCESS_LOCAL,532396876,0,0,0,0,0,0,1826654311,721,98978002,298,1610612736,0,0,138936320,0,0,0,0,0,0,0,0,0,0,0,0
[],0,65200,1080,hdc49-mcc10-01-0910-1710-029-tess0028.stratus.rno.ebay.com,15,2020-07-30T05:48:26.879GMT,False,RUNNING,25008787,PROCESS_LOCAL,532401863,0,0,0,0,0,0,1735792651,748,93839592,325,1610612736,0,0,138936320,0,0,0,0,0,0,0,0,0,0,0,0
[],0,65586,544,hdc49-mcc10-01-0710-1902-001-tess0035.stratus.rno.ebay.com,16,2020-07-30T05:48:26.880GMT,False,RUNNING,25008788,PROCESS_LOCAL,532369194,0,0,0,0,0,0,1897363828,850,102556013,263,1610612736,0,0,138936320,0,0,0,0,0,0,0,0,0,0,0,0
[],0,59939,521,hdc49-mcc10-01-0710-3509-027-tess0035.stratus.rno.ebay.com,17,2020-07-30T05:48:26.880GMT,False,RUNNING,25008789,PROCESS_LOCAL,532389050,0,0,0,0,0,0,1630232388,862,88348180,266,1610612736,0,0,138936320,0,0,0,0,0,0,0,0,0,0,0,0
[],0,64166,996,hdc49-mcc10-01-0710-3306-039-tess0035.stratus.rno.ebay.com,18,2020-07-30T05:48:26.880GMT,False,RUNNING,25008790,PROCESS_LOCAL,532399666,0,0,0,0,0,0,1673946091,789,90297918,256,1610612736,0,0,138936320,0,0,0,0,0,0,0,0,0,0,0,0
[],0,69608,936,hdc49-mcc10-01-0710-2509-025-tess0035.stratus.rno.ebay.com,19,2020-07-30T05:48:26.880GMT,False,RUNNING,25008791,PROCESS_LOCAL,532393030,0,0,0,0,0,0,1719661327,1236,92788269,283,1610612736,0,0,138936320,0,0,0,0,0,0,0,0,0,0,0,0
