host,duration,status,taskMetrics.executorCpuTime,taskMetrics.executorDeserializeCpuTime
hdc49-mcc10-01-0710-2603-039-tess0035.stratus.rno.ebay.com,14362,SUCCESS,7564,70917272
hdc49-mcc10-01-0710-3908-015-tess0035.stratus.rno.ebay.com,14131,SUCCESS,8114,58603182
hdc49-mcc10-01-0710-4102-007-tess0035.stratus.rno.ebay.com,13457,SUCCESS,8989,38864703
hdc49-mcc10-01-0710-3409-017-tess0035.stratus.rno.ebay.com,13423,SUCCESS,8037,22117282
hdc49-mcc10-01-0710-3306-006-tess0035.stratus.rno.ebay.com,13324,SUCCESS,8271,20438860
hdc49-mcc10-01-0710-2605-028-tess0035.stratus.rno.ebay.com,13266,SUCCESS,8717,32440077
hdc49-mcc10-01-0710-2604-029-tess0035.stratus.rno.ebay.com,13189,SUCCESS,9399,64946852
hdc49-mcc10-01-0710-2604-032-tess0035.stratus.rno.ebay.com,13093,SUCCESS,8014,33846151
hdc49-mcc10-01-0910-1803-010-tess0028.stratus.rno.ebay.com,12967,SUCCESS,7546,40402875
hdc49-mcc10-01-0710-3306-027-tess0035.stratus.rno.ebay.com,12776,SUCCESS,8182,54590733
hdc49-mcc10-01-0710-4105-028-tess0035.stratus.rno.ebay.com,12691,SUCCESS,7267,52299971
hdc49-mcc10-01-0710-2605-001-tess0035.stratus.rno.ebay.com,12620,SUCCESS,7703,87380561
