host,duration,status,taskMetrics.shuffleReadMetrics.remoteBytesRead.rateInKB
hdc49-mcc10-01-0710-1804-037-tess0035.stratus.rno.ebay.com,4816,SUCCESS,19765.867687146154
hdc49-mcc10-01-0910-1710-036-tess0028.stratus.rno.ebay.com,4844,SUCCESS,19642.193501353886
hdc49-mcc10-01-0710-3709-039-tess0035.stratus.rno.ebay.com,4988,FAILED,19058.87940406684
hdc49-mcc10-01-0710-1903-038-tess0035.stratus.rno.ebay.com,5080,FAILED,18643.133992094863
hdc49-mcc10-01-0910-1701-012-tess0028.stratus.rno.ebay.com,5151,SUCCESS,18469.59835584263
hdc49-mcc10-01-0710-3602-032-tess0035.stratus.rno.ebay.com,5159,SUCCESS,18447.805321854823
hdc49-mcc10-01-0710-2003-023-tess0035.stratus.rno.ebay.com,5274,FAILED,17954.4121454407
hdc49-mcc10-01-0710-2510-001-tess0035.stratus.rno.ebay.com,5319,FAILED,17792.099282748208
hdc49-mcc10-01-0910-1701-001-tess0028.stratus.rno.ebay.com,5375,FAILED,17676.86218487395
hdc49-mcc10-01-0710-2603-002-tess0035.stratus.rno.ebay.com,5414,FAILED,17557.813427299705
hdc49-mcc10-01-0910-1710-011-tess0028.stratus.rno.ebay.com,5531,FAILED,17186.77654746778
hdc49-mcc10-01-0910-1710-007-tess0028.stratus.rno.ebay.com,5558,FAILED,17041.783598265894
hdc49-mcc10-01-0710-3509-004-tess0035.stratus.rno.ebay.com,5615,FAILED,16918.909740840038
hdc49-mcc10-01-0710-2202-012-tess0035.stratus.rno.ebay.com,5667,FAILED,16764.396741055614
hdc49-mcc10-01-0710-1804-016-tess0035.stratus.rno.ebay.com,5656,FAILED,16733.95812633073
hdc49-mcc10-01-0710-4105-017-tess0035.stratus.rno.ebay.com,5766,FAILED,16473.916811695093
hdc49-mcc10-01-0710-4205-018-tess0035.stratus.rno.ebay.com,5830,FAILED,16232.49948364888
hdc49-mcc10-01-0710-3306-027-tess0035.stratus.rno.ebay.com,6175,FAILED,15544.69408866995
hdc49-mcc10-01-0710-2104-014-tess0035.stratus.rno.ebay.com,6634,FAILED,14858.351078910064
hdc49-mcc10-01-0910-2703-001-tess0028.stratus.rno.ebay.com,6772,FAILED,14795.012556898446
