host,duration,status,taskCpuRate,taskMetrics.executorRunTime,taskMetrics.executorCpuTime
hdc49-mcc10-01-0710-2603-009-tess0035.stratus.rno.ebay.com,11634,SUCCESS,0.7482279048900853,11145,8339
hdc49-mcc10-01-0710-3602-037-tess0035.stratus.rno.ebay.com,13779,SUCCESS,0.7451157198677487,13308,9916
hdc49-mcc10-01-0710-3709-009-tess0035.stratus.rno.ebay.com,9355,SUCCESS,0.7282608695652174,8924,6499
hdc49-mcc10-01-0710-2604-040-tess0035.stratus.rno.ebay.com,10154,SUCCESS,0.7144920061887571,9695,6927
hdc49-mcc10-01-0710-4205-007-tess0035.stratus.rno.ebay.com,10102,SUCCESS,0.6889279437609842,9673,6664
hdc49-mcc10-01-0710-3302-037-tess0035.stratus.rno.ebay.com,9093,SUCCESS,0.6720726938118242,8694,5843
hdc49-mcc10-01-0710-3804-001-tess0035.stratus.rno.ebay.com,9199,SUCCESS,0.6466567946235334,8779,5677
hdc49-mcc10-01-0710-2605-037-tess0035.stratus.rno.ebay.com,9349,SUCCESS,0.6310657850498711,8923,5631
hdc49-mcc10-01-0710-2510-018-tess0035.stratus.rno.ebay.com,9230,SUCCESS,0.6182086837917709,8798,5439
hdc49-mcc10-01-0710-3908-006-tess0035.stratus.rno.ebay.com,13083,SUCCESS,0.6171428571428571,12600,7776
hdc49-mcc10-01-0910-1710-029-tess0028.stratus.rno.ebay.com,12022,SUCCESS,0.6022051856318373,11609,6991
hdc49-mcc10-01-0710-3302-039-tess0035.stratus.rno.ebay.com,9561,SUCCESS,0.5942819729375819,9164,5446
hdc49-mcc10-01-0910-1803-025-tess0028.stratus.rno.ebay.com,10554,SUCCESS,0.5942186266771902,10136,6023
hdc49-mcc10-01-0710-3908-034-tess0035.stratus.rno.ebay.com,9599,SUCCESS,0.581453634085213,9177,5336
hdc49-mcc10-01-0710-2102-019-tess0035.stratus.rno.ebay.com,12039,SUCCESS,0.5667589069526116,11564,6554
hdc49-mcc10-01-0710-3709-025-tess0035.stratus.rno.ebay.com,11089,SUCCESS,0.5511501776697213,10694,5894
hdc49-mcc10-01-0710-2104-029-tess0035.stratus.rno.ebay.com,14885,SUCCESS,0.5465301321524942,14453,7899
hdc49-mcc10-01-0910-1803-015-tess0028.stratus.rno.ebay.com,14839,SUCCESS,0.3935712302138295,14404,5669
hdc49-mcc10-01-0710-3709-016-tess0035.stratus.rno.ebay.com,28973,KILLED,,0,0
hdc49-mcc10-01-0710-3302-025-tess0035.stratus.rno.ebay.com,30052,KILLED,,0,0
