host,duration,status,taskMetrics.shuffleWriteMetrics.bytesWritten.rateInKB
hdc49-mcc10-01-0710-1804-025-tess0035.stratus.rno.ebay.com,1928,SUCCESS,17270.396496815287
hdc49-mcc10-01-0710-4105-037-tess0035.stratus.rno.ebay.com,2069,SUCCESS,16404.274567901233
hdc49-mcc10-01-0710-3409-016-tess0035.stratus.rno.ebay.com,2050,SUCCESS,16237.414549078227
hdc49-mcc10-01-0710-2104-029-tess0035.stratus.rno.ebay.com,2286,SUCCESS,14837.2
hdc49-mcc10-01-0710-3503-036-tess0035.stratus.rno.ebay.com,2342,SUCCESS,14478.659852109613
hdc49-mcc10-01-0710-3908-012-tess0035.stratus.rno.ebay.com,2337,SUCCESS,14267.757417102966
hdc49-mcc10-01-0710-2605-019-tess0035.stratus.rno.ebay.com,2361,SUCCESS,14082.095689655172
hdc49-mcc10-01-0710-3804-004-tess0035.stratus.rno.ebay.com,2424,SUCCESS,14013.724820901813
hdc49-mcc10-01-0710-2604-039-tess0035.stratus.rno.ebay.com,2423,SUCCESS,13766.268663011388
hdc49-mcc10-01-0710-4105-039-tess0035.stratus.rno.ebay.com,2504,SUCCESS,13557.243276283618
hdc49-mcc10-01-0910-1803-021-tess0028.stratus.rno.ebay.com,2610,SUCCESS,12957.707212475634
hdc49-mcc10-01-0710-3302-004-tess0035.stratus.rno.ebay.com,2670,SUCCESS,12440.365714285714
hdc49-mcc10-01-0710-2603-025-tess0035.stratus.rno.ebay.com,2896,SUCCESS,11686.807867931155
hdc49-mcc10-01-0710-3509-025-tess0035.stratus.rno.ebay.com,3043,SUCCESS,10894.025700934579
hdc49-mcc10-01-0710-1804-023-tess0035.stratus.rno.ebay.com,3314,SUCCESS,10184.291666666666
hdc49-mcc10-01-0710-2603-022-tess0035.stratus.rno.ebay.com,3382,SUCCESS,9847.689009661835
hdc49-mcc10-01-0710-1903-033-tess0035.stratus.rno.ebay.com,3504,SUCCESS,9426.266705235754
hdc49-mcc10-01-0910-1901-029-tess0028.stratus.rno.ebay.com,3754,SUCCESS,8993.21345582275
hdc49-mcc10-01-0910-1710-010-tess0028.stratus.rno.ebay.com,3906,SUCCESS,8617.647821576764
hdc49-mcc10-01-0710-3509-009-tess0035.stratus.rno.ebay.com,8887,SUCCESS,3698.8681668371405
