host,duration,status
hdc49-mcc10-01-0710-2102-028-tess0035.stratus.rno.ebay.com,290336,RUNNING
hdc49-mcc10-01-0710-1902-029-tess0035.stratus.rno.ebay.com,290037,RUNNING
hdc49-mcc10-01-0710-1903-006-tess0035.stratus.rno.ebay.com,289928,RUNNING
hdc49-mcc10-01-0710-3409-040-tess0035.stratus.rno.ebay.com,289082,RUNNING
hdc49-mcc10-01-0710-2509-033-tess0035.stratus.rno.ebay.com,288616,RUNNING
hdc49-mcc10-01-0910-1710-008-tess0028.stratus.rno.ebay.com,288612,RUNNING
hdc49-mcc10-01-0710-3509-026-tess0035.stratus.rno.ebay.com,288548,RUNNING
hdc49-mcc10-01-0710-1804-033-tess0035.stratus.rno.ebay.com,288484,RUNNING
hdc49-mcc10-01-0710-2104-038-tess0035.stratus.rno.ebay.com,288477,RUNNING
hdc49-mcc10-01-0710-2510-028-tess0035.stratus.rno.ebay.com,288455,RUNNING
hdc49-mcc10-01-0710-2003-023-tess0035.stratus.rno.ebay.com,288404,RUNNING
hdc49-mcc10-01-0910-1701-036-tess0028.stratus.rno.ebay.com,288382,RUNNING
