host,duration,status,taskMetrics.shuffleReadMetrics.remoteBytesRead.rateInKB
hdc49-mcc10-01-0710-3602-003-tess0035.stratus.rno.ebay.com,14066,KILLED,inf
hdc49-mcc10-01-0710-3709-019-tess0035.stratus.rno.ebay.com,2349,SUCCESS,44841.017279574655
hdc49-mcc10-01-0710-2510-014-tess0035.stratus.rno.ebay.com,2434,SUCCESS,43427.27742210841
hdc49-mcc10-01-0710-4105-025-tess0035.stratus.rno.ebay.com,2440,SUCCESS,43234.80051480052
hdc49-mcc10-01-0710-3708-002-tess0035.stratus.rno.ebay.com,2435,SUCCESS,43223.521571977784
hdc49-mcc10-01-0710-2509-002-tess0035.stratus.rno.ebay.com,2458,SUCCESS,43077.62304108428
hdc49-mcc10-01-0710-3503-015-tess0035.stratus.rno.ebay.com,2489,SUCCESS,42655.63937867338
hdc49-mcc10-01-0710-2510-013-tess0035.stratus.rno.ebay.com,2460,SUCCESS,42618.50866807611
hdc49-mcc10-01-0710-3908-027-tess0035.stratus.rno.ebay.com,2479,SUCCESS,42572.12347753045
hdc49-mcc10-01-0710-1903-035-tess0035.stratus.rno.ebay.com,2494,SUCCESS,42287.135089920535
hdc49-mcc10-01-0910-1803-021-tess0028.stratus.rno.ebay.com,2516,SUCCESS,42127.24595603484
hdc49-mcc10-01-0710-1903-033-tess0035.stratus.rno.ebay.com,2513,SUCCESS,41678.653179190755
hdc49-mcc10-01-0710-2202-003-tess0035.stratus.rno.ebay.com,2549,SUCCESS,41153.72039072039
hdc49-mcc10-01-0710-3908-014-tess0035.stratus.rno.ebay.com,2846,SUCCESS,36786.40872727273
hdc49-mcc10-01-0710-1804-016-tess0035.stratus.rno.ebay.com,3008,SUCCESS,34918.24447513812
hdc49-mcc10-01-0910-1710-010-tess0028.stratus.rno.ebay.com,3176,SUCCESS,33036.52338894341
hdc49-mcc10-01-0710-3804-008-tess0035.stratus.rno.ebay.com,3431,SUCCESS,30310.659274797723
hdc49-mcc10-01-0910-2703-036-tess0028.stratus.rno.ebay.com,3801,SUCCESS,27273.228448275862
hdc49-mcc10-01-0910-1701-002-tess0028.stratus.rno.ebay.com,4256,SUCCESS,24376.188974482426
hdc49-mcc10-01-0910-1803-038-tess0028.stratus.rno.ebay.com,8694,SUCCESS,12595.536652489367
