host,duration,status
hdc49-mcc10-01-0710-3302-003-tess0035.stratus.rno.ebay.com,21881,RUNNING
hdc49-mcc10-01-0710-1804-016-tess0035.stratus.rno.ebay.com,21855,RUNNING
hdc49-mcc10-01-0710-2003-012-tess0035.stratus.rno.ebay.com,21854,RUNNING
hdc49-mcc10-01-0910-1901-016-tess0028.stratus.rno.ebay.com,20646,RUNNING
hdc49-mcc10-01-0710-3708-012-tess0035.stratus.rno.ebay.com,19972,RUNNING
hdc49-mcc10-01-0710-2604-029-tess0035.stratus.rno.ebay.com,19474,RUNNING
hdc49-mcc10-01-0710-2603-025-tess0035.stratus.rno.ebay.com,18241,RUNNING
hdc49-mcc10-01-0710-2509-013-tess0035.stratus.rno.ebay.com,17212,RUNNING
hdc49-mcc10-01-0710-3708-007-tess0035.stratus.rno.ebay.com,15680,RUNNING
hdc49-mcc10-01-0710-4105-021-tess0035.stratus.rno.ebay.com,15406,RUNNING
hdc49-mcc10-01-0710-3709-009-tess0035.stratus.rno.ebay.com,15364,RUNNING
hdc49-mcc10-01-0710-3409-015-tess0035.stratus.rno.ebay.com,15266,RUNNING
hdc49-mcc10-01-0710-4105-003-tess0035.stratus.rno.ebay.com,15192,RUNNING
hdc49-mcc10-01-0710-2603-011-tess0035.stratus.rno.ebay.com,15080,RUNNING
