host,duration,status,taskMetrics.shuffleReadMetrics.remoteBytesRead.rateInKB
hdc49-mcc10-01-0710-3509-004-tess0035.stratus.rno.ebay.com,3117,SUCCESS,6347.583922261484
hdc49-mcc10-01-0910-2703-038-tess0028.stratus.rno.ebay.com,2661,SUCCESS,5550.199691595991
hdc49-mcc10-01-0710-3409-016-tess0035.stratus.rno.ebay.com,1614,SUCCESS,5538.579475308642
hdc49-mcc10-01-0710-1903-020-tess0035.stratus.rno.ebay.com,2326,SUCCESS,5452.678598629093
hdc49-mcc10-01-0710-3302-002-tess0035.stratus.rno.ebay.com,3375,SUCCESS,5400.954853273138
hdc49-mcc10-01-0710-3302-032-tess0035.stratus.rno.ebay.com,1641,SUCCESS,5368.126402393418
hdc49-mcc10-01-0710-3804-038-tess0035.stratus.rno.ebay.com,1998,SUCCESS,5317.69696969697
hdc49-mcc10-01-0710-2605-031-tess0035.stratus.rno.ebay.com,1748,SUCCESS,5294.89469808542
hdc49-mcc10-01-0710-3503-034-tess0035.stratus.rno.ebay.com,2672,SUCCESS,5278.431300514328
hdc49-mcc10-01-0710-1903-024-tess0035.stratus.rno.ebay.com,2963,SUCCESS,5101.9849677881175
hdc49-mcc10-01-0710-2104-008-tess0035.stratus.rno.ebay.com,3384,SUCCESS,5076.675847457627
hdc49-mcc10-01-0710-3804-023-tess0035.stratus.rno.ebay.com,1836,SUCCESS,5044.964838255977
hdc49-mcc10-01-0710-2003-037-tess0035.stratus.rno.ebay.com,1844,SUCCESS,5032.889355742297
hdc49-mcc10-01-0710-4102-023-tess0035.stratus.rno.ebay.com,3395,SUCCESS,5032.352240896358
hdc49-mcc10-01-0910-1701-026-tess0028.stratus.rno.ebay.com,2638,SUCCESS,4962.144237405107
hdc49-mcc10-01-0910-1901-036-tess0028.stratus.rno.ebay.com,1902,SUCCESS,4958.5816678153
hdc49-mcc10-01-0710-3409-036-tess0035.stratus.rno.ebay.com,1910,SUCCESS,4895.850034083163
hdc49-mcc10-01-0710-2509-021-tess0035.stratus.rno.ebay.com,2809,SUCCESS,4760.080291970803
hdc49-mcc10-01-0710-2604-020-tess0035.stratus.rno.ebay.com,1888,SUCCESS,4515.862090680101
hdc49-mcc10-01-0710-3804-016-tess0035.stratus.rno.ebay.com,2307,SUCCESS,4314.97891566265
