CPUBound,IOBound,MemBound,MixBound,ResourceLimit,dataSkew,numTasks,stageId,status,submissionTime
0,0,0,1,0,0,200,128707,ACTIVE,2020-07-30T05:54:58.899GMT
0,0,0,1,0,0,500,128704,ACTIVE,2020-07-30T05:54:57.858GMT
0,1,0,0,0,0,1000,128703,ACTIVE,2020-07-30T05:54:57.848GMT
0,0,0,1,0,0,500,128701,ACTIVE,2020-07-30T05:54:54.643GMT
1,0,0,0,0,0,5000,128682,ACTIVE,2020-07-30T05:54:42.506GMT
0,0,0,0,0,1,218,128632,ACTIVE,2020-07-30T05:54:16.322GMT
1,0,0,0,0,0,500,128625,ACTIVE,2020-07-30T05:54:06.138GMT
1,0,0,0,0,0,218,128577,ACTIVE,2020-07-30T05:53:27.376GMT
1,0,0,0,0,0,1000,128527,ACTIVE,2020-07-30T05:52:40.235GMT
1,0,0,0,0,0,5000,128484,ACTIVE,2020-07-30T05:51:20.874GMT
1,0,0,0,0,0,500,128260,ACTIVE,2020-07-30T05:48:09.027GMT
1,0,0,0,0,0,1,127543,ACTIVE,2020-07-30T05:54:56.104GMT
