diskBytesSpilled,executorBlockTime,executorCpuTime,executorDeserializeCpuTime,executorDeserializeTime,executorRunTime,executorWaitTime,gettingResultTime,inputMetrics.bytesRead,inputMetrics.recordsRead,jvmGcTime,launchDelay,memoryBytesSpilled,outputMetrics.bytesWritten,outputMetrics.recordsWritten,peakExecutionMemory,resultSerializationTime,resultSize,schedulerDelay,shuffleReadMetrics.fetchWaitTime,shuffleReadMetrics.localBlocksFetched,shuffleReadMetrics.readBytes,shuffleReadMetrics.readRecords,shuffleReadMetrics.remoteBlocksFetched,shuffleReadMetrics.remoteBytesRead,shuffleReadMetrics.remoteBytesReadToDisk,shuffleReadMetrics.totalBlocksFetched,shuffleWriteMetrics.writeBytes,shuffleWriteMetrics.writeRecords,shuffleWriteMetrics.writeTime,stageId
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,1,1,1,1,1,1,1,1,1,1,1,128707
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,53,1,1,1,1,1,1,1,1,1,1,1,128704
1,1,15,23,87,33,1,1,0,0,1,1,1,1,1,1,1,2,32,1,1,1,1,1,1,1,1,3,2,15,128703
1,1,1,1,1,1,1,1,25,28,1,1,1,1,1,70,1,1,64,109,1,91,91,91,91,1,72,1,1,1,128701
1,1,12,61,51,41,1,1,0,0,139,1,1,1,1,1,1,1,53,1,1,1,1,1,1,1,1,0,0,19,128682
1,1,57,74,63,58,1,1,1,1,70,1,1,1,1,5,1,56,199,222,149,1,1,0,1,1,1,111,111,64,128632
0,1,9,48,73,9,1,1,0,1,47,1,1,1,1,1,1,0,71,1,1,1,1,1,1,1,1,1,1,32,128625
1,1,52,28,28,75,1,1,1,1,164,1,1,1,1,1,1,1,20,163,105,1,1,0,1,1,1,55,55,33,128577
1,1,37,32,26,71,1,1,0,0,1,1,1,1,1,14,1,1,96,1,1,13,17,1,13,1,1,1,1,1,128527
1,1,36,54,66,43,1,1,0,0,62,1,1,1,1,1,1,0,59,93,1,0,0,1,0,1,1,0,0,35,128484
34,1,60,62,61,62,1,1,56,56,33,1,34,56,56,1,1,56,223,144,1,4,6,1,4,1,1,1,1,1,128260
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,127543
