host,duration,status,taskMetrics.shuffleReadMetrics.remoteBytesRead.rateInKB
hdc49-mcc10-01-0710-3302-036-tess0035.stratus.rno.ebay.com,74161,SUCCESS,17.428900119150335
hdc49-mcc10-01-0710-3602-037-tess0035.stratus.rno.ebay.com,79146,SUCCESS,16.663464617355107
hdc49-mcc10-01-0710-3602-002-tess0035.stratus.rno.ebay.com,81937,SUCCESS,16.259141553414867
hdc49-mcc10-01-0710-2202-028-tess0035.stratus.rno.ebay.com,85508,SUCCESS,15.294346955460503
hdc49-mcc10-01-0710-2202-034-tess0035.stratus.rno.ebay.com,84406,SUCCESS,15.210393572174915
hdc49-mcc10-01-0710-3509-021-tess0035.stratus.rno.ebay.com,83233,SUCCESS,15.16751954957773
hdc49-mcc10-01-0710-3302-015-tess0035.stratus.rno.ebay.com,87070,SUCCESS,14.710899426590833
hdc49-mcc10-01-0910-1803-023-tess0028.stratus.rno.ebay.com,94323,SUCCESS,13.936990061219458
hdc49-mcc10-01-0710-1902-038-tess0035.stratus.rno.ebay.com,124501,SUCCESS,10.447710644228199
hdc49-mcc10-01-0910-2703-010-tess0028.stratus.rno.ebay.com,123773,SUCCESS,9.995240229838217
hdc49-mcc10-01-0710-3503-025-tess0035.stratus.rno.ebay.com,134850,SUCCESS,9.816127006906449
hdc49-mcc10-01-0710-2604-023-tess0035.stratus.rno.ebay.com,130325,SUCCESS,9.734970796425946
hdc49-mcc10-01-0710-3509-007-tess0035.stratus.rno.ebay.com,146502,SUCCESS,8.695826457645765
hdc49-mcc10-01-0710-3908-018-tess0035.stratus.rno.ebay.com,157547,SUCCESS,8.455258886233208
hdc49-mcc10-01-0710-3708-019-tess0035.stratus.rno.ebay.com,158727,SUCCESS,8.159498924362708
hdc49-mcc10-01-0710-3908-029-tess0035.stratus.rno.ebay.com,156760,SUCCESS,8.099536694919067
hdc49-mcc10-01-0710-3306-004-tess0035.stratus.rno.ebay.com,163208,SUCCESS,7.797833890485648
hdc49-mcc10-01-0710-3306-012-tess0035.stratus.rno.ebay.com,193727,SUCCESS,6.660915871261075
hdc49-mcc10-01-0710-2104-027-tess0035.stratus.rno.ebay.com,207709,SUCCESS,6.28910331204702
hdc49-mcc10-01-0710-4205-031-tess0035.stratus.rno.ebay.com,247143,SUCCESS,5.108018482620729
