Hosts,CpuTime(ms)
hdc49-mcc10-01-0710-3306-004-tess0035.stratus.rno.ebay.com,62136
hdc49-mcc10-01-0710-3908-029-tess0035.stratus.rno.ebay.com,58563
hdc49-mcc10-01-0710-3908-018-tess0035.stratus.rno.ebay.com,57860
hdc49-mcc10-01-0710-3509-007-tess0035.stratus.rno.ebay.com,55748
hdc49-mcc10-01-0710-2104-027-tess0035.stratus.rno.ebay.com,54642
hdc49-mcc10-01-0710-3708-019-tess0035.stratus.rno.ebay.com,47666
hdc49-mcc10-01-0710-1902-038-tess0035.stratus.rno.ebay.com,45425
hdc49-mcc10-01-0710-2604-023-tess0035.stratus.rno.ebay.com,45370
hdc49-mcc10-01-0910-1803-023-tess0028.stratus.rno.ebay.com,42840
hdc49-mcc10-01-0710-3306-012-tess0035.stratus.rno.ebay.com,42121
hdc49-mcc10-01-0710-4205-031-tess0035.stratus.rno.ebay.com,39331
hdc49-mcc10-01-0710-3302-015-tess0035.stratus.rno.ebay.com,35187
hdc49-mcc10-01-0710-3503-025-tess0035.stratus.rno.ebay.com,34374
hdc49-mcc10-01-0710-2202-034-tess0035.stratus.rno.ebay.com,33355
hdc49-mcc10-01-0710-2202-028-tess0035.stratus.rno.ebay.com,29956
hdc49-mcc10-01-0910-2703-010-tess0028.stratus.rno.ebay.com,28562
hdc49-mcc10-01-0710-3602-002-tess0035.stratus.rno.ebay.com,25866
hdc49-mcc10-01-0710-3509-021-tess0035.stratus.rno.ebay.com,22974
hdc49-mcc10-01-0710-3602-037-tess0035.stratus.rno.ebay.com,22376
hdc49-mcc10-01-0710-3302-036-tess0035.stratus.rno.ebay.com,21273
