host,duration,status,taskCpuRate,taskMetrics.executorRunTime,taskMetrics.executorCpuTime
hdc49-mcc10-01-0710-3709-015-tess0035.stratus.rno.ebay.com,56244,SUCCESS,0.9982384968506459,56202,56103
hdc49-mcc10-01-0710-1804-015-tess0035.stratus.rno.ebay.com,44444,SUCCESS,0.9973648055136377,44399,44282
hdc49-mcc10-01-0710-3804-011-tess0035.stratus.rno.ebay.com,47887,SUCCESS,0.9973243028554706,47838,47710
hdc49-mcc10-01-0710-2202-020-tess0035.stratus.rno.ebay.com,27771,SUCCESS,0.9967538322813345,27725,27635
hdc49-mcc10-01-0710-2102-027-tess0035.stratus.rno.ebay.com,33425,SUCCESS,0.9964653726335969,33384,33266
hdc49-mcc10-01-0910-1901-009-tess0028.stratus.rno.ebay.com,33824,SUCCESS,0.9964478124444971,33782,33662
hdc49-mcc10-01-0910-1901-014-tess0028.stratus.rno.ebay.com,39418,SUCCESS,0.9920765929349621,39377,39065
hdc49-mcc10-01-0710-2603-012-tess0035.stratus.rno.ebay.com,16473,SUCCESS,0.9916002191247185,16429,16291
hdc49-mcc10-01-0710-1902-026-tess0035.stratus.rno.ebay.com,44194,SUCCESS,0.9911883296334889,44146,43757
hdc49-mcc10-01-0710-3409-015-tess0035.stratus.rno.ebay.com,44278,SUCCESS,0.9898272899900533,44236,43786
hdc49-mcc10-01-0710-3908-022-tess0035.stratus.rno.ebay.com,36276,SUCCESS,0.9699696384211979,36230,35142
hdc49-mcc10-01-0710-3908-002-tess0035.stratus.rno.ebay.com,39893,SUCCESS,0.9648136529050069,39845,38443
hdc49-mcc10-01-0710-2510-005-tess0035.stratus.rno.ebay.com,26038,SUCCESS,0.9509521061742643,25995,24720
hdc49-mcc10-01-0710-4102-021-tess0035.stratus.rno.ebay.com,19855,SUCCESS,0.9466296389800556,19805,18748
hdc49-mcc10-01-0710-3709-013-tess0035.stratus.rno.ebay.com,12987166,RUNNING,,0,0
hdc49-mcc10-01-0710-2202-007-tess0035.stratus.rno.ebay.com,12979714,RUNNING,,0,0
hdc49-mcc10-01-0710-3409-021-tess0035.stratus.rno.ebay.com,12978114,RUNNING,,0,0
hdc49-mcc10-01-0910-1701-012-tess0028.stratus.rno.ebay.com,12985921,RUNNING,,0,0
hdc49-mcc10-01-0710-1804-003-tess0035.stratus.rno.ebay.com,12981188,RUNNING,,0,0
hdc49-mcc10-01-0710-4205-022-tess0035.stratus.rno.ebay.com,12976735,RUNNING,,0,0
