accumulatorUpdates,attempt,duration,executorId,host,index,launchTime,speculative,status,taskId,taskLocality,taskMetrics.diskBytesSpilled,taskMetrics.executorBlockTime,taskMetrics.executorCpuTime,taskMetrics.executorDeserializeCpuTime,taskMetrics.executorDeserializeTime,taskMetrics.executorRunTime,taskMetrics.executorWaitTime,taskMetrics.inputMetrics.bytesRead,taskMetrics.inputMetrics.inputWaitTime,taskMetrics.inputMetrics.recordsRead,taskMetrics.jvmGcTime,taskMetrics.memoryBytesSpilled,taskMetrics.outputMetrics.bytesWritten,taskMetrics.outputMetrics.recordsWritten,taskMetrics.peakExecutionMemory,taskMetrics.resultSerializationTime,taskMetrics.resultSize,taskMetrics.shuffleReadMetrics.fetchWaitTime,taskMetrics.shuffleReadMetrics.localBlocksFetched,taskMetrics.shuffleReadMetrics.localBytesRead,taskMetrics.shuffleReadMetrics.recordsRead,taskMetrics.shuffleReadMetrics.remoteBlocksFetched,taskMetrics.shuffleReadMetrics.remoteBytesRead,taskMetrics.shuffleReadMetrics.remoteBytesReadToDisk,taskMetrics.shuffleWriteMetrics.bytesWritten,taskMetrics.shuffleWriteMetrics.recordsWritten,taskMetrics.shuffleWriteMetrics.writeTime
[],0,332672,206,hdc49-mcc10-01-0710-3509-037-tess0035.stratus.rno.ebay.com,0,2020-07-30T05:49:02.335GMT,False,RUNNING,32094373,PROCESS_LOCAL,506206021,0,0,0,0,0,0,0,0,0,0,1073741824,0,0,1006632992,0,0,195436,6,1838102,34463284,2749,866906078,0,0,0,0
[],0,338795,291,hdc49-mcc10-01-0710-2104-026-tess0035.stratus.rno.ebay.com,1,2020-07-30T05:49:02.335GMT,False,RUNNING,32094374,PROCESS_LOCAL,506409348,0,0,0,0,0,0,0,0,0,534,1073741824,0,0,1006632992,0,0,200534,5,1345614,34449159,2750,867113662,0,0,0,0
[],0,329866,427,hdc49-mcc10-01-0710-3302-010-tess0035.stratus.rno.ebay.com,2,2020-07-30T05:49:02.335GMT,False,RUNNING,32094375,PROCESS_LOCAL,506184378,0,0,0,0,0,0,0,0,0,0,1073741824,0,0,1006632992,0,0,132289,5,1313538,34455007,2750,867227083,0,0,0,0
[],0,328992,295,hdc49-mcc10-01-0910-1901-002-tess0028.stratus.rno.ebay.com,3,2020-07-30T05:49:02.335GMT,False,RUNNING,32094376,PROCESS_LOCAL,506458505,0,0,0,0,0,0,0,0,0,560,1073741824,0,0,1006632992,0,0,161287,5,1542402,34455210,2750,867014864,0,0,0,0
[],0,340127,412,hdc49-mcc10-01-0710-2509-006-tess0035.stratus.rno.ebay.com,4,2020-07-30T05:49:02.335GMT,False,RUNNING,32094377,PROCESS_LOCAL,506327119,0,0,0,0,0,0,0,0,0,696,1073741824,0,0,1006632992,0,0,203947,6,1389063,34435948,2749,866721053,0,0,0,0
[],0,338969,377,hdc49-mcc10-01-0710-2603-012-tess0035.stratus.rno.ebay.com,5,2020-07-30T05:49:02.335GMT,False,RUNNING,32094378,PROCESS_LOCAL,506368679,0,0,0,0,0,0,0,0,0,436,1073741824,0,0,1006632992,0,0,181824,6,1592533,34453916,2749,866956806,0,0,0,0
[],0,338029,112,hdc49-mcc10-01-0710-3602-014-tess0035.stratus.rno.ebay.com,6,2020-07-30T05:49:02.335GMT,False,RUNNING,32094379,PROCESS_LOCAL,506131015,0,0,0,0,0,0,0,0,0,410,1073741824,0,0,1006632992,0,0,199381,6,1824571,34464897,2749,866986084,0,0,0,0
[],0,338342,22,hdc49-mcc10-01-0710-3708-010-tess0035.stratus.rno.ebay.com,7,2020-07-30T05:49:02.335GMT,False,RUNNING,32094380,PROCESS_LOCAL,506528792,0,0,0,0,0,0,0,0,0,238,1073741824,0,0,1006632992,0,0,171418,6,2158793,34447068,2749,866232502,0,0,0,0
[],0,332999,234,hdc49-mcc10-01-0910-1710-003-tess0028.stratus.rno.ebay.com,8,2020-07-30T05:49:02.335GMT,False,RUNNING,32094381,PROCESS_LOCAL,506179021,0,0,0,0,0,0,0,0,0,0,1073741824,0,0,1006632992,0,0,196540,5,1759311,34454902,2750,866789355,0,0,0,0
[],0,345190,70,hdc49-mcc10-01-0710-3302-022-tess0035.stratus.rno.ebay.com,9,2020-07-30T05:49:02.336GMT,False,RUNNING,32094382,PROCESS_LOCAL,506453446,0,0,0,0,0,0,0,0,0,1671,1073741824,0,0,1006632992,0,0,137015,7,2399958,34458281,2748,866263709,0,0,0,0
[],0,335155,119,hdc49-mcc10-01-0710-3409-020-tess0035.stratus.rno.ebay.com,10,2020-07-30T05:49:02.336GMT,False,RUNNING,32094383,PROCESS_LOCAL,506578433,0,0,0,0,0,0,0,0,0,531,1073741824,0,0,1006632992,0,0,200494,6,1900957,34455738,2749,866658815,0,0,0,0
[],0,331783,61,hdc49-mcc10-01-0910-1701-029-tess0028.stratus.rno.ebay.com,11,2020-07-30T05:49:02.336GMT,False,RUNNING,32094384,PROCESS_LOCAL,506447666,0,0,0,0,0,0,0,0,0,1673,1073741824,0,0,1006632992,0,0,187330,6,1522556,34452183,2749,866995512,0,0,0,0
[],0,325497,218,hdc49-mcc10-01-0910-1803-022-tess0028.stratus.rno.ebay.com,12,2020-07-30T05:49:02.336GMT,False,RUNNING,32094385,PROCESS_LOCAL,506554050,0,0,0,0,0,0,0,0,0,427,1073741824,0,0,1006632992,0,0,186036,5,1826309,34456628,2750,866769359,0,0,0,0
[],0,345070,178,hdc49-mcc10-01-0910-2703-001-tess0028.stratus.rno.ebay.com,13,2020-07-30T05:49:02.336GMT,False,RUNNING,32094386,PROCESS_LOCAL,506444988,0,0,0,0,0,0,0,0,0,834,1073741824,0,0,1006632992,0,0,186993,5,1826735,34454656,2750,866680205,0,0,0,0
[],0,339869,520,hdc49-mcc10-01-0710-2510-015-tess0035.stratus.rno.ebay.com,14,2020-07-30T05:49:02.336GMT,False,RUNNING,32094387,PROCESS_LOCAL,506074905,0,0,0,0,0,0,0,0,0,0,1073741824,0,0,1006632992,0,0,193644,5,1482151,34469879,2750,867415382,0,0,0,0
[],0,329799,48,hdc49-mcc10-01-0710-4205-004-tess0035.stratus.rno.ebay.com,15,2020-07-30T05:49:02.336GMT,False,RUNNING,32094388,PROCESS_LOCAL,506343983,0,0,0,0,0,0,0,0,0,549,1073741824,0,0,1006632992,0,0,237836,5,1870464,34445176,2750,866489579,0,0,0,0
[],0,339870,92,hdc49-mcc10-01-0910-2703-008-tess0028.stratus.rno.ebay.com,16,2020-07-30T05:49:02.336GMT,False,RUNNING,32094389,PROCESS_LOCAL,506741894,0,0,0,0,0,0,0,0,0,1783,1073741824,0,0,1006632992,0,0,158656,5,1761361,34460287,2750,866899266,0,0,0,0
[],0,342207,430,hdc49-mcc10-01-0910-1803-003-tess0028.stratus.rno.ebay.com,17,2020-07-30T05:49:02.336GMT,False,RUNNING,32094390,PROCESS_LOCAL,506625200,0,0,0,0,0,0,0,0,0,0,1073741824,0,0,1006632992,0,0,199882,5,1828393,34451736,2750,866614408,0,0,0,0
[],0,341092,349,hdc49-mcc10-01-0710-2605-022-tess0035.stratus.rno.ebay.com,18,2020-07-30T05:49:02.336GMT,False,RUNNING,32094391,PROCESS_LOCAL,506307959,0,0,0,0,0,0,0,0,0,0,1073741824,0,0,1006632992,0,0,152005,7,2410319,34475530,2748,866657594,0,0,0,0
[],0,331876,277,hdc49-mcc10-01-0710-2603-018-tess0035.stratus.rno.ebay.com,19,2020-07-30T05:49:02.336GMT,False,RUNNING,32094392,PROCESS_LOCAL,506404494,0,0,0,0,0,0,0,0,0,269,1073741824,0,0,1006632992,0,0,243626,7,1914799,34444731,2748,866352309,0,0,0,0
