accumulatorUpdates,attempt,duration,executorId,host,index,launchTime,speculative,status,taskId,taskLocality,taskMetrics.diskBytesSpilled,taskMetrics.executorBlockTime,taskMetrics.executorCpuTime,taskMetrics.executorDeserializeCpuTime,taskMetrics.executorDeserializeTime,taskMetrics.executorRunTime,taskMetrics.executorWaitTime,taskMetrics.inputMetrics.bytesRead,taskMetrics.inputMetrics.inputWaitTime,taskMetrics.inputMetrics.recordsRead,taskMetrics.jvmGcTime,taskMetrics.memoryBytesSpilled,taskMetrics.outputMetrics.bytesWritten,taskMetrics.outputMetrics.recordsWritten,taskMetrics.peakExecutionMemory,taskMetrics.resultSerializationTime,taskMetrics.resultSize,taskMetrics.shuffleReadMetrics.fetchWaitTime,taskMetrics.shuffleReadMetrics.localBlocksFetched,taskMetrics.shuffleReadMetrics.localBytesRead,taskMetrics.shuffleReadMetrics.recordsRead,taskMetrics.shuffleReadMetrics.remoteBlocksFetched,taskMetrics.shuffleReadMetrics.remoteBytesRead,taskMetrics.shuffleReadMetrics.remoteBytesReadToDisk,taskMetrics.shuffleWriteMetrics.bytesWritten,taskMetrics.shuffleWriteMetrics.recordsWritten,taskMetrics.shuffleWriteMetrics.writeTime
[],0,112,3210,hdc49-mcc10-01-0710-3708-005-tess0035.stratus.rno.ebay.com,0,2020-07-30T05:52:13.825GMT,False,SUCCESS,30997842,PROCESS_LOCAL,0,0,87,12683741,15,88,0,0,0,0,0,0,0,0,134643712,0,23729,0,0,0,4,1,236,0,0,0,0
[],0,212078,3264,hdc49-mcc10-01-0710-4205-007-tess0035.stratus.rno.ebay.com,1,2020-07-30T05:52:13.825GMT,False,RUNNING,30997843,PROCESS_LOCAL,7604873528,0,0,0,0,0,0,0,0,0,547,26709327872,0,0,1141178368,0,0,2355,0,0,502921201,26,6850447761,5997959817,0,60000000,0
[],0,128,3141,hdc49-mcc10-01-0710-3804-004-tess0035.stratus.rno.ebay.com,2,2020-07-30T05:52:13.825GMT,False,SUCCESS,30997844,PROCESS_LOCAL,0,0,101,16548264,18,102,0,0,0,0,0,0,0,0,134643712,0,23729,0,0,0,1,1,59,0,0,0,0
[],0,212640,2979,hdc49-mcc10-01-0710-2003-002-tess0035.stratus.rno.ebay.com,3,2020-07-30T05:52:13.825GMT,False,RUNNING,30997845,PROCESS_LOCAL,4916841343,0,0,0,0,0,0,0,0,0,356,18186502144,0,0,1141178368,0,0,1872,0,0,254167125,26,3279567101,2195407839,0,120000000,0
[],0,106,3174,hdc49-mcc10-01-0710-4105-037-tess0035.stratus.rno.ebay.com,4,2020-07-30T05:52:13.825GMT,False,SUCCESS,30997846,PROCESS_LOCAL,0,0,85,5687936,6,92,0,0,0,0,0,0,0,0,134643712,0,23729,0,0,0,11,1,649,0,0,0,0
[],0,212671,3135,hdc49-mcc10-01-0710-3804-004-tess0035.stratus.rno.ebay.com,5,2020-07-30T05:52:13.826GMT,False,RUNNING,30997847,PROCESS_LOCAL,5746516921,0,0,0,0,0,0,0,0,0,212,20870856704,0,0,1141178368,0,0,3617,0,0,332716283,25,4495246218,4017192654,0,100000000,0
[],0,152,3251,hdc49-mcc10-01-0710-3602-035-tess0035.stratus.rno.ebay.com,6,2020-07-30T05:52:13.826GMT,False,SUCCESS,30997848,PROCESS_LOCAL,0,0,124,14460196,16,128,0,0,0,0,0,0,0,0,134643712,0,23729,0,0,0,14,1,826,0,0,0,0
[],0,124254,3327,hdc49-mcc10-01-0910-1901-034-tess0028.stratus.rno.ebay.com,7,2020-07-30T05:52:13.826GMT,False,SUCCESS,30997849,PROCESS_LOCAL,2041134485,0,123160,11772363,13,124230,0,0,0,0,324,8053063680,0,0,1946484736,0,23983,590,0,0,85366648,26,1080985700,0,1104743113,85366647,1057774545
[],0,100,3123,hdc49-mcc10-01-0710-2603-020-tess0035.stratus.rno.ebay.com,8,2020-07-30T05:52:13.826GMT,False,SUCCESS,30997850,PROCESS_LOCAL,0,0,83,6175003,8,85,0,0,0,0,0,0,0,0,134643712,0,23729,0,0,0,8,1,472,0,0,0,0
[],0,212147,3166,hdc49-mcc10-01-0910-1803-021-tess0028.stratus.rno.ebay.com,9,2020-07-30T05:52:13.826GMT,False,RUNNING,30997851,PROCESS_LOCAL,7444765479,0,0,0,0,0,0,0,0,0,215,25769803776,0,0,1141178368,0,0,4397,1,233513350,481561239,25,6406693267,5690689750,0,60000000,0
[],0,115,2640,hdc49-mcc10-01-0710-2510-034-tess0035.stratus.rno.ebay.com,10,2020-07-30T05:52:13.826GMT,False,SUCCESS,30997852,PROCESS_LOCAL,0,0,98,6446523,9,99,0,0,0,0,0,0,0,0,134643712,0,23729,0,0,0,5,1,295,0,0,0,0
