host,duration,status,taskCpuRate,taskMetrics.executorRunTime,taskMetrics.executorCpuTime
hdc49-mcc10-01-0710-4205-024-tess0035.stratus.rno.ebay.com,2568,SUCCESS,0.9103068450039339,2542,2314
hdc49-mcc10-01-0710-4205-014-tess0035.stratus.rno.ebay.com,2868,SUCCESS,0.8205489092188599,2842,2332
hdc49-mcc10-01-0710-1804-011-tess0035.stratus.rno.ebay.com,2222,SUCCESS,0.8121019108280255,2198,1785
hdc49-mcc10-01-0710-2202-032-tess0035.stratus.rno.ebay.com,2352,SUCCESS,0.772434521253757,2329,1799
hdc49-mcc10-01-0710-2510-024-tess0035.stratus.rno.ebay.com,2720,SUCCESS,0.7388724035608308,2696,1992
hdc49-mcc10-01-0710-4102-016-tess0035.stratus.rno.ebay.com,2665,SUCCESS,0.7308856926570779,2642,1931
hdc49-mcc10-01-0710-3409-022-tess0035.stratus.rno.ebay.com,2053,SUCCESS,0.7270935960591133,2030,1476
hdc49-mcc10-01-0710-3602-018-tess0035.stratus.rno.ebay.com,2457,SUCCESS,0.7147554459515002,2433,1739
hdc49-mcc10-01-0710-2510-037-tess0035.stratus.rno.ebay.com,3951,SUCCESS,0.6506238859180036,3927,2555
hdc49-mcc10-01-0710-1903-035-tess0035.stratus.rno.ebay.com,3689,SUCCESS,0.5962325962325963,3663,2184
hdc49-mcc10-01-0710-1902-027-tess0035.stratus.rno.ebay.com,4515,SUCCESS,0.5467914438502673,4488,2454
hdc49-mcc10-01-0710-2510-035-tess0035.stratus.rno.ebay.com,4536,SUCCESS,0.5201863354037267,4508,2345
hdc49-mcc10-01-0910-1901-037-tess0028.stratus.rno.ebay.com,5015,SUCCESS,0.5133611691022965,4790,2459
hdc49-mcc10-01-0710-2509-013-tess0035.stratus.rno.ebay.com,6194,SUCCESS,0.460237436981623,6149,2830
hdc49-mcc10-01-0910-2703-017-tess0028.stratus.rno.ebay.com,4983,SUCCESS,0.43184584178498986,4930,2129
hdc49-mcc10-01-0710-2603-019-tess0035.stratus.rno.ebay.com,5142,SUCCESS,0.4265022509297318,5109,2179
hdc49-mcc10-01-0710-3602-014-tess0035.stratus.rno.ebay.com,6147,SUCCESS,0.3273974840712302,6121,2004
hdc49-mcc10-01-0910-1901-001-tess0028.stratus.rno.ebay.com,7857,SUCCESS,0.31054313099041536,7825,2430
hdc49-mcc10-01-0710-3503-017-tess0035.stratus.rno.ebay.com,51939,RUNNING,,0,0
hdc49-mcc10-01-0710-3302-029-tess0035.stratus.rno.ebay.com,14196,KILLED,,0,0
