host,duration,status,taskMetrics.executorDeserializeCpuTime,taskMetrics.shuffleReadMetrics.fetchWaitTime
hdc49-mcc10-01-0910-1701-004-tess0028.stratus.rno.ebay.com,5301,SUCCESS,32672590,2238
hdc49-mcc10-01-0710-1903-040-tess0035.stratus.rno.ebay.com,4157,SUCCESS,37623199,1535
hdc49-mcc10-01-0710-1903-035-tess0035.stratus.rno.ebay.com,4113,SUCCESS,31236995,1914
hdc49-mcc10-01-0710-2104-008-tess0035.stratus.rno.ebay.com,4035,SUCCESS,32785814,1857
hdc49-mcc10-01-0710-4205-025-tess0035.stratus.rno.ebay.com,3964,SUCCESS,24328904,1720
hdc49-mcc10-01-0710-2603-008-tess0035.stratus.rno.ebay.com,3901,SUCCESS,21478534,1577
hdc49-mcc10-01-0710-4205-014-tess0035.stratus.rno.ebay.com,3901,SUCCESS,36037113,1533
hdc49-mcc10-01-0710-2604-007-tess0035.stratus.rno.ebay.com,3875,SUCCESS,22582666,1662
hdc49-mcc10-01-0710-2605-017-tess0035.stratus.rno.ebay.com,3874,SUCCESS,33509214,1562
hdc49-mcc10-01-0710-2605-005-tess0035.stratus.rno.ebay.com,3842,SUCCESS,35812479,1428
hdc49-mcc10-01-0710-4205-012-tess0035.stratus.rno.ebay.com,3842,SUCCESS,24101851,1655
hdc49-mcc10-01-0710-1804-018-tess0035.stratus.rno.ebay.com,3841,SUCCESS,36753963,1568
hdc49-mcc10-01-0710-2202-032-tess0035.stratus.rno.ebay.com,3839,SUCCESS,38365047,1470
hdc49-mcc10-01-0710-1903-034-tess0035.stratus.rno.ebay.com,3839,SUCCESS,52346529,1460
hdc49-mcc10-01-0710-3302-002-tess0035.stratus.rno.ebay.com,3835,SUCCESS,28816451,1653
hdc49-mcc10-01-0710-2603-015-tess0035.stratus.rno.ebay.com,3834,SUCCESS,32181000,1648
hdc49-mcc10-01-0710-3804-023-tess0035.stratus.rno.ebay.com,3704,SUCCESS,24301692,1563
