CPUBound,IOBound,MemBound,MixBound,ResourceLimit,dataSkew,numTasks,stageId,status,submissionTime
0,0,0,1,0,0,20500,48429,ACTIVE,2020-07-30T06:57:11.212GMT
1,0,0,0,0,0,100,48423,ACTIVE,2020-07-30T06:56:55.584GMT
0,0,0,1,0,0,1,48416,ACTIVE,2020-07-30T06:56:52.448GMT
0,0,0,1,0,0,1,48411,ACTIVE,2020-07-30T06:56:49.649GMT
0,0,0,0,1,0,43,48407,ACTIVE,2020-07-30T06:56:49.387GMT
1,0,0,0,0,0,203,48396,ACTIVE,2020-07-30T06:56:44.018GMT
1,0,0,0,0,0,5000,48392,ACTIVE,2020-07-30T06:56:42.344GMT
1,0,0,0,0,0,1291,48359,ACTIVE,2020-07-30T06:56:02.623GMT
1,0,0,0,0,0,10000,47722,ACTIVE,2020-07-30T06:55:19.444GMT
0,1,0,0,0,0,6000,47708,ACTIVE,2020-07-30T06:54:56.447GMT
0,0,0,0,1,0,5000,47674,ACTIVE,2020-07-30T06:54:19.216GMT
1,0,0,0,0,0,34223,47574,ACTIVE,2020-07-30T06:52:41.730GMT
0,1,0,0,0,0,64898,47561,ACTIVE,2020-07-30T06:51:54.348GMT
1,0,0,0,0,0,3334,47402,ACTIVE,2020-07-30T06:46:27.268GMT
1,0,0,0,0,0,34223,47274,ACTIVE,2020-07-30T06:44:48.900GMT
1,0,0,0,0,0,10000,46075,ACTIVE,2020-07-30T06:24:32.187GMT
1,0,0,0,0,0,9307,45948,ACTIVE,2020-07-30T06:32:38.422GMT
0,0,0,1,0,0,2721,42511,ACTIVE,2020-07-30T06:02:22.932GMT
