diskBytesSpilled,executorBlockTime,executorCpuTime,executorDeserializeCpuTime,executorDeserializeTime,executorRunTime,executorWaitTime,gettingResultTime,inputMetrics.bytesRead,inputMetrics.recordsRead,jvmGcTime,launchDelay,memoryBytesSpilled,outputMetrics.bytesWritten,outputMetrics.recordsWritten,peakExecutionMemory,resultSerializationTime,resultSize,schedulerDelay,shuffleReadMetrics.fetchWaitTime,shuffleReadMetrics.localBlocksFetched,shuffleReadMetrics.readBytes,shuffleReadMetrics.readRecords,shuffleReadMetrics.remoteBlocksFetched,shuffleReadMetrics.remoteBytesRead,shuffleReadMetrics.remoteBytesReadToDisk,shuffleReadMetrics.totalBlocksFetched,shuffleWriteMetrics.writeBytes,shuffleWriteMetrics.writeRecords,shuffleWriteMetrics.writeTime,stageId
1,1,1,1,1,1,1,1,66,67,111,1,1,1,1,1,1,1,65,1,1,1,1,1,1,1,1,1,1,1,48429
1,1,26,31,31,26,1,1,1,1,45,1,1,1,1,1,1,0,51,1,1,1,1,1,1,1,1,0,1,28,48423
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,48416
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,48411
1,1,59,61,57,56,1,1,1,1,148,1,1,56,1,1,1,56,223,191,102,55,55,55,55,1,55,1,1,1,48407
1,1,60,63,72,69,1,1,1,1,119,1,1,1,1,1,1,56,223,147,149,1,1,0,1,1,1,1,1,114,48396
1,1,195,30,67,142,1,1,1,1,1,1,1,11,23,1,1,1,104,149,1,5,6,1,91,1,1,1,1,1,48392
1,1,96,65,101,98,1,1,76,71,94,1,1,1,1,89,1,60,223,1,1,1,1,1,1,1,1,100,100,94,48359
1,1,20,41,70,33,1,1,0,0,82,1,1,1,1,1,1,0,86,1,1,1,1,1,1,1,1,1,1,48,47722
1,1,59,79,95,59,1,1,54,54,50,1,1,1,1,1,1,56,222,1,1,1,1,1,1,1,1,1,1,1,47708
1,1,59,68,83,84,1,1,52,56,90,1,1,1,1,1,1,56,223,217,149,41,37,0,41,1,1,56,56,63,47674
1,1,36,45,81,65,1,1,19,19,93,1,1,1,1,1,1,0,133,1,1,1,1,1,1,1,1,1,1,1,47574
1,1,95,35,48,153,1,1,1,1,181,1,1,1,1,1,1,1,85,1,1,1,1,1,1,1,1,1,1,1,47561
2,1,28,49,108,73,1,1,1,1,70,1,1,1,1,1,1,0,143,224,114,4,4,0,4,1,1,3,3,27,47402
1,1,36,36,60,66,1,1,16,16,97,1,1,1,1,1,1,0,99,1,1,1,1,1,1,1,1,1,1,1,47274
20,1,60,70,99,61,1,1,3,25,55,1,25,1,1,1,1,56,223,1,1,56,56,1,56,56,1,56,56,63,46075
1,1,1,1,1,1,1,1,1,1,82,1,1,1,1,57,1,1,94,216,96,7,12,0,7,1,1,1,1,1,45948
1,1,1,1,1,1,1,1,1,1,22,1,1,1,1,12,1,1,0,75,35,8,16,0,8,1,1,1,1,1,42511
