accumulatorUpdates,attempt,duration,executorId,host,index,launchTime,speculative,status,taskId,taskLocality,taskMetrics.diskBytesSpilled,taskMetrics.executorBlockTime,taskMetrics.executorCpuTime,taskMetrics.executorDeserializeCpuTime,taskMetrics.executorDeserializeTime,taskMetrics.executorRunTime,taskMetrics.executorWaitTime,taskMetrics.inputMetrics.bytesRead,taskMetrics.inputMetrics.inputWaitTime,taskMetrics.inputMetrics.recordsRead,taskMetrics.jvmGcTime,taskMetrics.memoryBytesSpilled,taskMetrics.outputMetrics.bytesWritten,taskMetrics.outputMetrics.recordsWritten,taskMetrics.peakExecutionMemory,taskMetrics.resultSerializationTime,taskMetrics.resultSize,taskMetrics.shuffleReadMetrics.fetchWaitTime,taskMetrics.shuffleReadMetrics.localBlocksFetched,taskMetrics.shuffleReadMetrics.localBytesRead,taskMetrics.shuffleReadMetrics.recordsRead,taskMetrics.shuffleReadMetrics.remoteBlocksFetched,taskMetrics.shuffleReadMetrics.remoteBytesRead,taskMetrics.shuffleReadMetrics.remoteBytesReadToDisk,taskMetrics.shuffleWriteMetrics.bytesWritten,taskMetrics.shuffleWriteMetrics.recordsWritten,taskMetrics.shuffleWriteMetrics.writeTime
[],0,16285,2160,hdc49-mcc10-01-0710-2003-002-tess0035.stratus.rno.ebay.com,0,2020-07-30T06:59:18.521GMT,False,RUNNING,61676512,PROCESS_LOCAL,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,5715,8,228043,202515,9968,248907081,0,0,0,0
[],0,15346,1004,hdc49-mcc10-01-0710-2603-010-tess0035.stratus.rno.ebay.com,1,2020-07-30T06:59:18.522GMT,False,RUNNING,61676513,PROCESS_LOCAL,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,6807,8,191394,202379,9961,249208565,0,0,0,0
[],0,8991,574,hdc49-mcc10-01-0710-3709-009-tess0035.stratus.rno.ebay.com,2,2020-07-30T06:59:18.522GMT,False,SUCCESS,61676514,PROCESS_LOCAL,0,0,6136,37348312,60,7954,0,0,0,0,238,0,236917351,203001,0,0,2642,3,8,212652,203001,9992,249181867,0,0,0,0
[],0,12783,939,hdc49-mcc10-01-0910-2703-032-tess0028.stratus.rno.ebay.com,3,2020-07-30T06:59:18.522GMT,False,SUCCESS,61676515,PROCESS_LOCAL,0,0,9788,48497767,74,11730,0,0,0,0,739,0,237005967,203001,0,0,2642,22,8,189638,203001,9992,249305383,0,0,0,0
[],0,17491,652,hdc49-mcc10-01-0710-2604-019-tess0035.stratus.rno.ebay.com,4,2020-07-30T06:59:18.522GMT,False,RUNNING,61676516,PROCESS_LOCAL,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,9114,7,194978,202841,9985,249355616,0,0,0,0
[],0,15341,1085,hdc49-mcc10-01-0910-1901-007-tess0028.stratus.rno.ebay.com,5,2020-07-30T06:59:18.522GMT,False,RUNNING,61676517,PROCESS_LOCAL,0,0,0,0,0,0,0,0,0,0,327,0,0,0,0,0,0,5311,8,188838,202835,9984,250006519,0,0,0,0
[],0,12681,823,hdc49-mcc10-01-0710-4105-021-tess0035.stratus.rno.ebay.com,6,2020-07-30T06:59:18.522GMT,False,RUNNING,61676518,PROCESS_LOCAL,0,0,0,0,0,0,0,0,0,0,286,0,0,0,0,0,0,2511,8,251814,202343,9960,248202992,0,0,0,0
[],0,10602,216,hdc49-mcc10-01-0710-2603-009-tess0035.stratus.rno.ebay.com,7,2020-07-30T06:59:18.522GMT,False,SUCCESS,61676519,PROCESS_LOCAL,0,0,7909,28208314,48,9574,0,0,0,0,351,0,235724037,203000,0,0,2642,7,8,200427,203000,9992,248073996,0,0,0,0
[],0,17938,401,hdc49-mcc10-01-0710-3503-001-tess0035.stratus.rno.ebay.com,8,2020-07-30T06:59:18.522GMT,False,RUNNING,61676520,PROCESS_LOCAL,0,0,0,0,0,0,0,0,0,0,401,0,0,0,0,0,0,7213,7,187266,202840,9985,249991350,0,0,0,0
[],0,11942,452,hdc49-mcc10-01-0710-3509-023-tess0035.stratus.rno.ebay.com,9,2020-07-30T06:59:18.523GMT,False,RUNNING,61676521,PROCESS_LOCAL,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,3205,8,226169,202838,9984,249128184,0,0,0,0
[],0,12940,432,hdc49-mcc10-01-0910-1701-007-tess0028.stratus.rno.ebay.com,10,2020-07-30T06:59:18.523GMT,False,RUNNING,61676522,PROCESS_LOCAL,0,0,0,0,0,0,0,0,0,0,647,0,0,0,0,0,0,4409,8,239748,202838,9984,249015893,0,0,0,0
[],0,15207,187,hdc49-mcc10-01-0910-1803-005-tess0028.stratus.rno.ebay.com,11,2020-07-30T06:59:18.523GMT,False,RUNNING,61676523,PROCESS_LOCAL,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,5207,8,188171,202834,9984,249253316,0,0,0,0
[],0,10497,13,hdc49-mcc10-01-0710-3409-007-tess0035.stratus.rno.ebay.com,12,2020-07-30T06:59:18.523GMT,False,RUNNING,61676524,PROCESS_LOCAL,0,0,0,0,0,0,0,0,0,0,403,0,0,0,0,0,0,4,8,231078,157131,7736,193125929,0,0,0,0
[],0,7809,806,hdc49-mcc10-01-0710-4205-033-tess0035.stratus.rno.ebay.com,13,2020-07-30T06:59:18.523GMT,False,SUCCESS,61676525,PROCESS_LOCAL,0,0,5493,44823331,50,6781,0,0,0,0,201,0,236534502,203000,0,0,2642,6,8,211144,203000,9992,248898817,0,0,0,0
[],0,15204,422,hdc49-mcc10-01-0710-1903-037-tess0035.stratus.rno.ebay.com,14,2020-07-30T06:59:18.523GMT,False,RUNNING,61676526,PROCESS_LOCAL,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,0,5914,8,218118,202517,9968,248464715,0,0,0,0
[],0,27353,2118,hdc49-mcc10-01-0710-3302-010-tess0035.stratus.rno.ebay.com,15,2020-07-30T06:59:18.523GMT,False,RUNNING,61676527,PROCESS_LOCAL,0,0,0,0,0,0,0,0,0,0,363,0,0,0,0,0,0,17712,8,173452,202514,9968,248819757,0,0,0,0
[],0,15803,834,hdc49-mcc10-01-0710-3908-008-tess0035.stratus.rno.ebay.com,16,2020-07-30T06:59:18.523GMT,False,RUNNING,61676528,PROCESS_LOCAL,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,7213,8,225788,202716,9978,248964013,0,0,0,0
[],0,12584,586,hdc49-mcc10-01-0710-1902-002-tess0035.stratus.rno.ebay.com,17,2020-07-30T06:59:18.523GMT,False,RUNNING,61676529,PROCESS_LOCAL,0,0,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,2508,7,203339,202513,9969,248533937,0,0,0,0
[],0,9427,1074,hdc49-mcc10-01-0710-3503-008-tess0035.stratus.rno.ebay.com,18,2020-07-30T06:59:18.523GMT,False,SUCCESS,61676530,PROCESS_LOCAL,0,0,6789,25667004,59,8384,0,0,0,0,315,0,237503570,203002,0,0,2642,6,8,259183,203002,9992,249776706,0,0,0,0
[],0,12747,479,hdc49-mcc10-01-0910-1901-031-tess0028.stratus.rno.ebay.com,19,2020-07-30T06:59:18.524GMT,False,RUNNING,61676531,PROCESS_LOCAL,0,0,0,0,0,0,0,0,0,0,440,0,0,0,0,0,0,4409,8,209580,202517,9968,248621318,0,0,0,0
