accumulatorUpdates,attempt,duration,executorId,host,index,launchTime,speculative,status,taskId,taskLocality,taskMetrics.diskBytesSpilled,taskMetrics.executorBlockTime,taskMetrics.executorCpuTime,taskMetrics.executorDeserializeCpuTime,taskMetrics.executorDeserializeTime,taskMetrics.executorRunTime,taskMetrics.executorWaitTime,taskMetrics.inputMetrics.bytesRead,taskMetrics.inputMetrics.inputWaitTime,taskMetrics.inputMetrics.recordsRead,taskMetrics.jvmGcTime,taskMetrics.memoryBytesSpilled,taskMetrics.outputMetrics.bytesWritten,taskMetrics.outputMetrics.recordsWritten,taskMetrics.peakExecutionMemory,taskMetrics.resultSerializationTime,taskMetrics.resultSize,taskMetrics.shuffleReadMetrics.fetchWaitTime,taskMetrics.shuffleReadMetrics.localBlocksFetched,taskMetrics.shuffleReadMetrics.localBytesRead,taskMetrics.shuffleReadMetrics.recordsRead,taskMetrics.shuffleReadMetrics.remoteBlocksFetched,taskMetrics.shuffleReadMetrics.remoteBytesRead,taskMetrics.shuffleReadMetrics.remoteBytesReadToDisk,taskMetrics.shuffleWriteMetrics.bytesWritten,taskMetrics.shuffleWriteMetrics.recordsWritten,taskMetrics.shuffleWriteMetrics.writeTime
[],0,2659712,3092,hdc49-mcc10-01-0710-2104-027-tess0035.stratus.rno.ebay.com,0,2020-07-30T06:02:34.637GMT,False,SUCCESS,7727212,PROCESS_LOCAL,61008205,0,2576966,26315510,341,2658905,0,0,0,0,4060,1073741824,0,0,4169138176,0,7099,16894,74,324254,9767312,119125,386208145,0,103300051,2651818,161075260
[],0,2241552,3087,hdc49-mcc10-01-0710-1804-019-tess0035.stratus.rno.ebay.com,1,2020-07-30T06:02:34.637GMT,False,SUCCESS,7727213,PROCESS_LOCAL,61350811,0,2209914,14269064,59,2241035,0,0,0,0,3254,1073741824,0,0,4169138176,0,7099,7857,547,1677445,9784578,118823,385429716,0,103518805,2656843,161017576
[],0,2230381,2537,hdc49-mcc10-01-0710-3908-022-tess0035.stratus.rno.ebay.com,2,2020-07-30T06:02:34.637GMT,False,SUCCESS,7727214,PROCESS_LOCAL,61135949,0,2130518,11763850,26,2229897,0,0,0,0,4067,1073741824,0,0,4169138176,0,7099,79429,541,1919305,9831935,118766,384782518,0,103324783,2650817,103140470
[],0,2117674,3161,hdc49-mcc10-01-0910-2703-023-tess0028.stratus.rno.ebay.com,3,2020-07-30T06:02:34.638GMT,False,SUCCESS,7727215,PROCESS_LOCAL,61428563,0,2086175,15687986,52,2117162,0,0,0,0,3141,1073741824,0,0,4169138176,0,7099,9338,563,1870204,9829596,118767,386115374,0,103748207,2660981,108489698
[],0,2361842,3071,hdc49-mcc10-01-0710-4105-013-tess0035.stratus.rno.ebay.com,4,2020-07-30T06:02:34.638GMT,False,SUCCESS,7727216,PROCESS_LOCAL,61747716,0,2330980,10516103,55,2361329,0,0,0,0,4774,1073741824,0,0,4169138176,0,7099,1371,384,1245651,9893259,118987,387358785,0,103795253,2662321,122009654
[],0,2720620,2525,hdc49-mcc10-01-0910-1803-003-tess0028.stratus.rno.ebay.com,5,2020-07-30T06:02:34.638GMT,False,SUCCESS,7727217,PROCESS_LOCAL,61323345,0,2661745,8126015,33,2720127,0,0,0,0,3010,1073741824,0,0,4169138176,0,7099,48180,547,2157718,9822378,118784,385414057,0,103517592,2655786,107985037
[],0,2932641,2314,hdc49-mcc10-01-0910-1701-012-tess0028.stratus.rno.ebay.com,6,2020-07-30T06:02:34.638GMT,False,SUCCESS,7727218,PROCESS_LOCAL,61181416,0,2841392,12010831,36,2932147,0,0,0,0,5482,1073741824,0,0,4169138176,0,7099,77146,552,1829496,9811525,118696,385315847,0,103409705,2654385,114452166
[],0,2697206,3198,hdc49-mcc10-01-0910-2703-032-tess0028.stratus.rno.ebay.com,7,2020-07-30T06:02:34.638GMT,False,SUCCESS,7727219,PROCESS_LOCAL,61380438,0,2604141,12134352,58,2696690,0,0,0,0,4673,1073741824,0,0,4169138176,0,7099,67392,530,1772262,9821244,118893,386127865,0,103627674,2660635,137501447
[],0,2708917,2529,hdc49-mcc10-01-0710-2104-006-tess0035.stratus.rno.ebay.com,8,2020-07-30T06:02:34.638GMT,False,SUCCESS,7727220,PROCESS_LOCAL,61660021,0,2634825,12696475,37,2708420,0,0,0,0,5448,1073741824,0,0,4169138176,0,7099,58515,578,1863943,9884259,118675,386270457,0,103892164,2665825,105909462
[],0,2779954,3200,hdc49-mcc10-01-0710-3409-029-tess0035.stratus.rno.ebay.com,9,2020-07-30T06:02:34.638GMT,False,SUCCESS,7727221,PROCESS_LOCAL,61115582,0,2757925,15525348,52,2779442,0,0,0,0,4126,1073741824,0,0,4169138176,0,7099,4826,597,1651610,9824604,118671,384996195,0,103303774,2650065,147747369
