host,duration,status,taskCpuRate,taskMetrics.executorRunTime,taskMetrics.executorCpuTime
hdc49-mcc10-01-0710-2605-017-tess0035.stratus.rno.ebay.com,1608,SUCCESS,0.9818181818181818,1595,1566
hdc49-mcc10-01-0710-2604-026-tess0035.stratus.rno.ebay.com,1528,SUCCESS,0.9801587301587301,1512,1482
hdc49-mcc10-01-0710-2509-004-tess0035.stratus.rno.ebay.com,1557,SUCCESS,0.9798962386511024,1542,1511
hdc49-mcc10-01-0710-3804-006-tess0035.stratus.rno.ebay.com,1499,SUCCESS,0.9784801613987895,1487,1455
hdc49-mcc10-01-0710-4105-025-tess0035.stratus.rno.ebay.com,1325,SUCCESS,0.9764795144157815,1318,1287
hdc49-mcc10-01-0710-2604-037-tess0035.stratus.rno.ebay.com,1295,SUCCESS,0.9742790335151987,1283,1250
hdc49-mcc10-01-0710-4102-032-tess0035.stratus.rno.ebay.com,1472,SUCCESS,0.9725839616175462,1459,1419
hdc49-mcc10-01-0710-3908-035-tess0035.stratus.rno.ebay.com,1291,SUCCESS,0.9717868338557993,1276,1240
hdc49-mcc10-01-0710-4102-032-tess0035.stratus.rno.ebay.com,1320,SUCCESS,0.9687738004569688,1313,1272
hdc49-mcc10-01-0710-4105-025-tess0035.stratus.rno.ebay.com,1338,SUCCESS,0.9684447783621337,1331,1289
hdc49-mcc10-01-0910-1803-008-tess0028.stratus.rno.ebay.com,1078,SUCCESS,0.9681349578256795,1067,1033
hdc49-mcc10-01-0710-4105-025-tess0035.stratus.rno.ebay.com,1283,SUCCESS,0.963808025177026,1271,1225
hdc49-mcc10-01-0710-4102-032-tess0035.stratus.rno.ebay.com,1604,SUCCESS,0.9636591478696742,1596,1538
hdc49-mcc10-01-0710-4102-032-tess0035.stratus.rno.ebay.com,1506,SUCCESS,0.9606141522029372,1498,1439
hdc49-mcc10-01-0710-4205-013-tess0035.stratus.rno.ebay.com,1295,SUCCESS,0.9595645412130638,1286,1234
hdc49-mcc10-01-0710-2509-031-tess0035.stratus.rno.ebay.com,1248,SUCCESS,0.9587044534412955,1235,1184
hdc49-mcc10-01-0710-3709-031-tess0035.stratus.rno.ebay.com,1227,SUCCESS,0.922633744855967,1215,1121
hdc49-mcc10-01-0710-3804-006-tess0035.stratus.rno.ebay.com,1195,SUCCESS,0.9215851602023609,1186,1093
hdc49-mcc10-01-0710-1902-029-tess0035.stratus.rno.ebay.com,1476,SUCCESS,0.8122866894197952,1465,1190
hdc49-mcc10-01-0710-3503-025-tess0035.stratus.rno.ebay.com,1872,SUCCESS,0.693010752688172,1860,1289
