Hosts,CpuTime(ms)
hdc49-mcc10-01-0710-4102-032-tess0035.stratus.rno.ebay.com,5668
hdc49-mcc10-01-0710-4105-025-tess0035.stratus.rno.ebay.com,3801
hdc49-mcc10-01-0710-3804-006-tess0035.stratus.rno.ebay.com,2548
hdc49-mcc10-01-0710-2605-017-tess0035.stratus.rno.ebay.com,1566
hdc49-mcc10-01-0710-2509-004-tess0035.stratus.rno.ebay.com,1511
hdc49-mcc10-01-0710-2604-026-tess0035.stratus.rno.ebay.com,1482
hdc49-mcc10-01-0710-3503-025-tess0035.stratus.rno.ebay.com,1289
hdc49-mcc10-01-0710-2604-037-tess0035.stratus.rno.ebay.com,1250
hdc49-mcc10-01-0710-3908-035-tess0035.stratus.rno.ebay.com,1240
hdc49-mcc10-01-0710-4205-013-tess0035.stratus.rno.ebay.com,1234
hdc49-mcc10-01-0710-1902-029-tess0035.stratus.rno.ebay.com,1190
hdc49-mcc10-01-0710-2509-031-tess0035.stratus.rno.ebay.com,1184
hdc49-mcc10-01-0710-3709-031-tess0035.stratus.rno.ebay.com,1121
hdc49-mcc10-01-0910-1803-008-tess0028.stratus.rno.ebay.com,1033
