host,duration,status
hdc49-mcc10-01-0710-3306-003-tess0035.stratus.rno.ebay.com,22695,RUNNING
hdc49-mcc10-01-0710-3306-038-tess0035.stratus.rno.ebay.com,22066,RUNNING
hdc49-mcc10-01-0710-1902-019-tess0035.stratus.rno.ebay.com,19536,RUNNING
hdc49-mcc10-01-0710-3306-025-tess0035.stratus.rno.ebay.com,19236,RUNNING
hdc49-mcc10-01-0710-3708-011-tess0035.stratus.rno.ebay.com,18804,RUNNING
hdc49-mcc10-01-0910-1901-010-tess0028.stratus.rno.ebay.com,18525,RUNNING
hdc49-mcc10-01-0710-3804-007-tess0035.stratus.rno.ebay.com,18215,RUNNING
hdc49-mcc10-01-0710-3709-036-tess0035.stratus.rno.ebay.com,18207,RUNNING
hdc49-mcc10-01-0710-3409-028-tess0035.stratus.rno.ebay.com,16993,RUNNING
hdc49-mcc10-01-0710-2603-032-tess0035.stratus.rno.ebay.com,16949,RUNNING
hdc49-mcc10-01-0710-3602-009-tess0035.stratus.rno.ebay.com,14078,RUNNING
