host,duration,status,taskCpuRate,taskMetrics.executorRunTime,taskMetrics.executorCpuTime
hdc49-mcc10-01-0710-2104-021-tess0035.stratus.rno.ebay.com,6198,RUNNING,,0,0
hdc49-mcc10-01-0710-3306-021-tess0035.stratus.rno.ebay.com,3400,RUNNING,,0,0
hdc49-mcc10-01-0710-3804-007-tess0035.stratus.rno.ebay.com,18215,RUNNING,,0,0
hdc49-mcc10-01-0710-3409-028-tess0035.stratus.rno.ebay.com,16993,RUNNING,,0,0
hdc49-mcc10-01-0710-3306-003-tess0035.stratus.rno.ebay.com,22695,RUNNING,,0,0
hdc49-mcc10-01-0710-3306-025-tess0035.stratus.rno.ebay.com,19236,RUNNING,,0,0
hdc49-mcc10-01-0710-3709-036-tess0035.stratus.rno.ebay.com,18207,RUNNING,,0,0
hdc49-mcc10-01-0710-2603-032-tess0035.stratus.rno.ebay.com,16949,RUNNING,,0,0
hdc49-mcc10-01-0710-2003-032-tess0035.stratus.rno.ebay.com,10052,RUNNING,,0,0
hdc49-mcc10-01-0710-3602-009-tess0035.stratus.rno.ebay.com,14078,RUNNING,,0,0
hdc49-mcc10-01-0710-3302-015-tess0035.stratus.rno.ebay.com,11733,RUNNING,,0,0
hdc49-mcc10-01-0710-2509-031-tess0035.stratus.rno.ebay.com,10591,RUNNING,,0,0
hdc49-mcc10-01-0910-1710-003-tess0028.stratus.rno.ebay.com,6516,RUNNING,,0,0
hdc49-mcc10-01-0710-3306-038-tess0035.stratus.rno.ebay.com,22066,RUNNING,,0,0
hdc49-mcc10-01-0910-2703-039-tess0028.stratus.rno.ebay.com,5869,RUNNING,,0,0
hdc49-mcc10-01-0710-3908-004-tess0035.stratus.rno.ebay.com,7293,RUNNING,,0,0
hdc49-mcc10-01-0710-1902-019-tess0035.stratus.rno.ebay.com,19536,RUNNING,,0,0
hdc49-mcc10-01-0710-3708-011-tess0035.stratus.rno.ebay.com,18804,RUNNING,,0,0
hdc49-mcc10-01-0910-1901-010-tess0028.stratus.rno.ebay.com,18525,RUNNING,,0,0
hdc49-mcc10-01-0710-4102-037-tess0035.stratus.rno.ebay.com,3254,RUNNING,,0,0
