host,duration,status,taskMetrics.shuffleWriteMetrics.bytesWritten.rateInKB
hdc49-mcc10-01-0710-3709-003-tess0035.stratus.rno.ebay.com,152,SUCCESS,435.219298245614
hdc49-mcc10-01-0910-1901-023-tess0028.stratus.rno.ebay.com,147,SUCCESS,370.1743119266055
hdc49-mcc10-01-0710-2202-005-tess0035.stratus.rno.ebay.com,155,SUCCESS,338.1694915254237
hdc49-mcc10-01-0710-4102-016-tess0035.stratus.rno.ebay.com,144,SUCCESS,331.3545454545455
hdc49-mcc10-01-0910-2703-013-tess0028.stratus.rno.ebay.com,173,SUCCESS,325.6194029850746
hdc49-mcc10-01-0710-3409-025-tess0035.stratus.rno.ebay.com,165,SUCCESS,319.1967213114754
hdc49-mcc10-01-0710-3908-034-tess0035.stratus.rno.ebay.com,164,SUCCESS,312.48333333333335
hdc49-mcc10-01-0710-2510-030-tess0035.stratus.rno.ebay.com,158,SUCCESS,310.35042735042737
hdc49-mcc10-01-0710-1804-032-tess0035.stratus.rno.ebay.com,181,SUCCESS,309.23809523809524
hdc49-mcc10-01-0710-4205-023-tess0035.stratus.rno.ebay.com,169,SUCCESS,286.30232558139534
hdc49-mcc10-01-0710-4205-004-tess0035.stratus.rno.ebay.com,177,SUCCESS,286.21276595744683
hdc49-mcc10-01-0710-1902-030-tess0035.stratus.rno.ebay.com,199,SUCCESS,264.0662251655629
hdc49-mcc10-01-0710-3709-008-tess0035.stratus.rno.ebay.com,195,SUCCESS,263.8205128205128
hdc49-mcc10-01-0710-2102-015-tess0035.stratus.rno.ebay.com,188,SUCCESS,263.48026315789474
hdc49-mcc10-01-0710-4105-032-tess0035.stratus.rno.ebay.com,177,SUCCESS,257.4326241134752
hdc49-mcc10-01-0710-2604-021-tess0035.stratus.rno.ebay.com,211,SUCCESS,222.4
hdc49-mcc10-01-0910-1901-022-tess0028.stratus.rno.ebay.com,273,SUCCESS,158.7136752136752
hdc49-mcc10-01-0710-4205-025-tess0035.stratus.rno.ebay.com,349,SUCCESS,138.95666666666668
hdc49-mcc10-01-0710-3804-013-tess0035.stratus.rno.ebay.com,857,SUCCESS,45.415853658536584
hdc49-mcc10-01-0710-3804-029-tess0035.stratus.rno.ebay.com,1491,SUCCESS,28.494133885438234
