Hosts,CpuTime(ms)
hdc49-mcc10-01-0710-1902-030-tess0035.stratus.rno.ebay.com,60
hdc49-mcc10-01-0710-4205-025-tess0035.stratus.rno.ebay.com,53
hdc49-mcc10-01-0710-3908-034-tess0035.stratus.rno.ebay.com,38
hdc49-mcc10-01-0710-3804-013-tess0035.stratus.rno.ebay.com,37
hdc49-mcc10-01-0710-3709-008-tess0035.stratus.rno.ebay.com,37
hdc49-mcc10-01-0910-2703-013-tess0028.stratus.rno.ebay.com,36
hdc49-mcc10-01-0710-3804-029-tess0035.stratus.rno.ebay.com,35
hdc49-mcc10-01-0710-2102-015-tess0035.stratus.rno.ebay.com,32
hdc49-mcc10-01-0710-2510-030-tess0035.stratus.rno.ebay.com,32
hdc49-mcc10-01-0710-3409-025-tess0035.stratus.rno.ebay.com,31
hdc49-mcc10-01-0910-1901-022-tess0028.stratus.rno.ebay.com,29
hdc49-mcc10-01-0710-2202-005-tess0035.stratus.rno.ebay.com,28
hdc49-mcc10-01-0710-4105-032-tess0035.stratus.rno.ebay.com,28
hdc49-mcc10-01-0710-2604-021-tess0035.stratus.rno.ebay.com,27
hdc49-mcc10-01-0710-3709-003-tess0035.stratus.rno.ebay.com,26
hdc49-mcc10-01-0710-1804-032-tess0035.stratus.rno.ebay.com,25
hdc49-mcc10-01-0710-4205-023-tess0035.stratus.rno.ebay.com,24
hdc49-mcc10-01-0710-4205-004-tess0035.stratus.rno.ebay.com,21
hdc49-mcc10-01-0910-1901-023-tess0028.stratus.rno.ebay.com,20
hdc49-mcc10-01-0710-4102-016-tess0035.stratus.rno.ebay.com,20
