host,duration,status,taskCpuRate,taskMetrics.executorRunTime,taskMetrics.executorCpuTime
hdc49-mcc10-01-0710-3302-036-tess0035.stratus.rno.ebay.com,44829,SUCCESS,0.9533252936709992,44778,42688
hdc49-mcc10-01-0910-1901-005-tess0028.stratus.rno.ebay.com,36535,SUCCESS,0.9461207487187919,36489,34523
hdc49-mcc10-01-0710-1903-004-tess0035.stratus.rno.ebay.com,78772,SUCCESS,0.9427166079894254,78679,74172
hdc49-mcc10-01-0710-3503-031-tess0035.stratus.rno.ebay.com,44402,SUCCESS,0.9360467741207278,44298,41465
hdc49-mcc10-01-0910-1710-016-tess0028.stratus.rno.ebay.com,44972,SUCCESS,0.9321943287372196,44893,41849
hdc49-mcc10-01-0710-2605-012-tess0035.stratus.rno.ebay.com,51980,SUCCESS,0.9294874263488273,51934,48272
hdc49-mcc10-01-0710-1902-017-tess0035.stratus.rno.ebay.com,19890,SUCCESS,0.9195640106978856,19817,18223
hdc49-mcc10-01-0710-2510-006-tess0035.stratus.rno.ebay.com,56813,SUCCESS,0.9131035949797915,56412,51510
hdc49-mcc10-01-0710-2104-035-tess0035.stratus.rno.ebay.com,20217,SUCCESS,0.9089780514450293,20138,18305
hdc49-mcc10-01-0710-2202-031-tess0035.stratus.rno.ebay.com,44920,SUCCESS,0.9010971856741448,44842,40407
hdc49-mcc10-01-0910-1710-002-tess0028.stratus.rno.ebay.com,43886,SUCCESS,0.8943968960401689,43815,39188
hdc49-mcc10-01-0710-3409-002-tess0035.stratus.rno.ebay.com,74175,SUCCESS,0.8935412026726058,74085,66198
hdc49-mcc10-01-0710-2003-037-tess0035.stratus.rno.ebay.com,48158,SUCCESS,0.8754083352406317,48061,42073
hdc49-mcc10-01-0710-3804-037-tess0035.stratus.rno.ebay.com,54657,SUCCESS,0.7417535119690837,54599,40499
hdc49-mcc10-01-0910-1803-030-tess0028.stratus.rno.ebay.com,207368,RUNNING,,0,0
hdc49-mcc10-01-0710-3804-030-tess0035.stratus.rno.ebay.com,194180,RUNNING,,0,0
hdc49-mcc10-01-0910-2703-030-tess0028.stratus.rno.ebay.com,206955,RUNNING,,0,0
hdc49-mcc10-01-0710-2202-009-tess0035.stratus.rno.ebay.com,210507,RUNNING,,0,0
hdc49-mcc10-01-0710-2603-015-tess0035.stratus.rno.ebay.com,203098,RUNNING,,0,0
hdc49-mcc10-01-0710-3409-034-tess0035.stratus.rno.ebay.com,203482,RUNNING,,0,0
