host,duration,status,taskMetrics.shuffleWriteMetrics.bytesWritten.rateInKB
hdc49-mcc10-01-0710-1902-017-tess0035.stratus.rno.ebay.com,19890,SUCCESS,0.23515163748296916
hdc49-mcc10-01-0710-2104-035-tess0035.stratus.rno.ebay.com,20217,SUCCESS,0.2286225047174496
hdc49-mcc10-01-0910-1901-005-tess0028.stratus.rno.ebay.com,36535,SUCCESS,0.12231083340184713
hdc49-mcc10-01-0910-1710-002-tess0028.stratus.rno.ebay.com,43886,SUCCESS,0.10852447791852106
hdc49-mcc10-01-0710-3302-036-tess0035.stratus.rno.ebay.com,44829,SUCCESS,0.10587788646210193
hdc49-mcc10-01-0710-2202-031-tess0035.stratus.rno.ebay.com,44920,SUCCESS,0.10563757191918291
hdc49-mcc10-01-0710-3503-031-tess0035.stratus.rno.ebay.com,44402,SUCCESS,0.09998194049392749
hdc49-mcc10-01-0910-1710-016-tess0028.stratus.rno.ebay.com,44972,SUCCESS,0.09638473704140957
hdc49-mcc10-01-0710-2003-037-tess0035.stratus.rno.ebay.com,48158,SUCCESS,0.09548282391127942
hdc49-mcc10-01-0710-2605-012-tess0035.stratus.rno.ebay.com,51980,SUCCESS,0.0884584280047753
hdc49-mcc10-01-0710-3804-037-tess0035.stratus.rno.ebay.com,54657,SUCCESS,0.08529460246524662
hdc49-mcc10-01-0710-2510-006-tess0035.stratus.rno.ebay.com,56813,SUCCESS,0.0844146635467631
hdc49-mcc10-01-0710-3409-002-tess0035.stratus.rno.ebay.com,74175,SUCCESS,0.05832489707768104
hdc49-mcc10-01-0710-1903-004-tess0035.stratus.rno.ebay.com,78772,SUCCESS,0.05588530611726128
hdc49-mcc10-01-0910-1803-030-tess0028.stratus.rno.ebay.com,207368,RUNNING,
hdc49-mcc10-01-0710-3804-030-tess0035.stratus.rno.ebay.com,194180,RUNNING,
hdc49-mcc10-01-0910-2703-030-tess0028.stratus.rno.ebay.com,206955,RUNNING,
hdc49-mcc10-01-0710-2202-009-tess0035.stratus.rno.ebay.com,210507,RUNNING,
hdc49-mcc10-01-0710-2603-015-tess0035.stratus.rno.ebay.com,203098,RUNNING,
hdc49-mcc10-01-0710-3409-034-tess0035.stratus.rno.ebay.com,203482,RUNNING,
