accumulatorUpdates,attempt,duration,executorId,host,index,launchTime,speculative,status,taskId,taskLocality,taskMetrics.diskBytesSpilled,taskMetrics.executorBlockTime,taskMetrics.executorCpuTime,taskMetrics.executorDeserializeCpuTime,taskMetrics.executorDeserializeTime,taskMetrics.executorRunTime,taskMetrics.executorWaitTime,taskMetrics.inputMetrics.bytesRead,taskMetrics.inputMetrics.inputWaitTime,taskMetrics.inputMetrics.recordsRead,taskMetrics.jvmGcTime,taskMetrics.memoryBytesSpilled,taskMetrics.outputMetrics.bytesWritten,taskMetrics.outputMetrics.recordsWritten,taskMetrics.peakExecutionMemory,taskMetrics.resultSerializationTime,taskMetrics.resultSize,taskMetrics.shuffleReadMetrics.fetchWaitTime,taskMetrics.shuffleReadMetrics.localBlocksFetched,taskMetrics.shuffleReadMetrics.localBytesRead,taskMetrics.shuffleReadMetrics.recordsRead,taskMetrics.shuffleReadMetrics.remoteBlocksFetched,taskMetrics.shuffleReadMetrics.remoteBytesRead,taskMetrics.shuffleReadMetrics.remoteBytesReadToDisk,taskMetrics.shuffleWriteMetrics.bytesWritten,taskMetrics.shuffleWriteMetrics.recordsWritten,taskMetrics.shuffleWriteMetrics.writeTime
[],0,8756.0,20,hdc49-mcc10-01-0910-1901-005-tess0028.stratus.rno.ebay.com,0,2020-07-30T07:00:28.006GMT,False,SUCCESS,440190,PROCESS_LOCAL,0.0,0.0,8138.0,4736682.0,6.0,8739.0,0.0,2804.0,0.0,4.0,0.0,0.0,0.0,0.0,5167546368.0,0.0,1957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785.0,4.0,24429.0
[],0,10508.0,3,hdc49-mcc10-01-0710-2003-014-tess0035.stratus.rno.ebay.com,1,2020-07-30T07:00:28.006GMT,False,RUNNING,440191,PROCESS_LOCAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[],0,9275.0,24,hdc49-mcc10-01-0710-3602-016-tess0035.stratus.rno.ebay.com,2,2020-07-30T07:00:28.007GMT,False,SUCCESS,440192,PROCESS_LOCAL,0.0,0.0,8465.0,3460115.0,9.0,9255.0,0.0,2701.0,0.0,2.0,114.0,0.0,0.0,0.0,5167546368.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,2.0,21086.0
[],0,11215.0,503,hdc49-mcc10-01-0710-3503-031-tess0035.stratus.rno.ebay.com,3,2020-07-30T07:00:28.007GMT,False,SUCCESS,440193,PROCESS_LOCAL,0.0,0.0,10413.0,5223605.0,7.0,11197.0,0.0,2690.0,0.0,2.0,92.0,0.0,0.0,0.0,5167546368.0,0.0,2001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,2.0,27701.0
[],0,4881.0,497,hdc49-mcc10-01-0710-2102-013-tess0035.stratus.rno.ebay.com,4,2020-07-30T07:00:28.007GMT,False,RUNNING,440194,PROCESS_LOCAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[],0,9639.0,493,hdc49-mcc10-01-0710-2603-024-tess0035.stratus.rno.ebay.com,5,2020-07-30T07:00:28.007GMT,False,SUCCESS,440195,PROCESS_LOCAL,0.0,0.0,10.0,1793054.0,6.0,9624.0,0.0,2627.0,0.0,2.0,68.0,0.0,0.0,0.0,5167546368.0,0.0,2001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,2.0,36436.0
[],0,,477,hdc49-mcc10-01-0710-3804-025-tess0035.stratus.rno.ebay.com,6,2020-07-30T07:00:28.007GMT,False,RUNNING,440196,PROCESS_LOCAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],0,9216.0,474,hdc49-mcc10-01-0710-2510-006-tess0035.stratus.rno.ebay.com,7,2020-07-30T07:00:28.007GMT,False,SUCCESS,440197,PROCESS_LOCAL,0.0,0.0,8497.0,4710247.0,6.0,9200.0,0.0,2571.0,0.0,2.0,0.0,0.0,0.0,0.0,5167546368.0,0.0,1958.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0,2.0,27822.0
[],0,,478,hdc49-mcc10-01-0710-3708-019-tess0035.stratus.rno.ebay.com,8,2020-07-30T07:00:28.007GMT,False,RUNNING,440198,PROCESS_LOCAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],0,5130.0,479,hdc49-mcc10-01-0710-1902-028-tess0035.stratus.rno.ebay.com,9,2020-07-30T07:00:28.007GMT,False,RUNNING,440199,PROCESS_LOCAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
