Hosts,CpuTime(ms)
hdc49-mcc10-01-0710-1903-004-tess0035.stratus.rno.ebay.com,74172
hdc49-mcc10-01-0710-3409-002-tess0035.stratus.rno.ebay.com,66198
hdc49-mcc10-01-0710-2510-006-tess0035.stratus.rno.ebay.com,51510
hdc49-mcc10-01-0710-2605-012-tess0035.stratus.rno.ebay.com,48272
hdc49-mcc10-01-0710-3302-036-tess0035.stratus.rno.ebay.com,42688
hdc49-mcc10-01-0710-2003-037-tess0035.stratus.rno.ebay.com,42073
hdc49-mcc10-01-0910-1710-016-tess0028.stratus.rno.ebay.com,41849
hdc49-mcc10-01-0710-3503-031-tess0035.stratus.rno.ebay.com,41465
hdc49-mcc10-01-0710-3804-037-tess0035.stratus.rno.ebay.com,40499
hdc49-mcc10-01-0710-2202-031-tess0035.stratus.rno.ebay.com,40407
hdc49-mcc10-01-0910-1710-002-tess0028.stratus.rno.ebay.com,39188
hdc49-mcc10-01-0910-1901-005-tess0028.stratus.rno.ebay.com,34523
hdc49-mcc10-01-0710-2104-035-tess0035.stratus.rno.ebay.com,18305
hdc49-mcc10-01-0710-1902-017-tess0035.stratus.rno.ebay.com,18223
