host,duration,status,taskMetrics.shuffleReadMetrics.remoteBytesRead.rateInKB
hdc49-mcc10-01-0710-4102-032-tess0035.stratus.rno.ebay.com,109624,FAILED,inf
hdc49-mcc10-01-0710-3602-025-tess0035.stratus.rno.ebay.com,4698,SUCCESS,1562.8105855855856
hdc49-mcc10-01-0710-3602-035-tess0035.stratus.rno.ebay.com,4697,SUCCESS,1525.9918032786886
hdc49-mcc10-01-0910-1803-002-tess0028.stratus.rno.ebay.com,4778,SUCCESS,1520.470048097945
hdc49-mcc10-01-0910-1710-029-tess0028.stratus.rno.ebay.com,4976,SUCCESS,1445.1646862622472
hdc49-mcc10-01-0710-1804-039-tess0035.stratus.rno.ebay.com,5198,SUCCESS,1383.1428286455216
hdc49-mcc10-01-0710-2603-001-tess0035.stratus.rno.ebay.com,5237,SUCCESS,1381.6679873217115
hdc49-mcc10-01-0710-3409-027-tess0035.stratus.rno.ebay.com,4795,SUCCESS,1361.561308492201
hdc49-mcc10-01-0710-3409-027-tess0035.stratus.rno.ebay.com,4879,SUCCESS,1336.8075608714225
hdc49-mcc10-01-0910-1803-037-tess0028.stratus.rno.ebay.com,5396,SUCCESS,1331.1609877488515
hdc49-mcc10-01-0910-1901-038-tess0028.stratus.rno.ebay.com,5347,SUCCESS,1231.761719509823
hdc49-mcc10-01-0710-1804-023-tess0035.stratus.rno.ebay.com,5358,SUCCESS,1209.8624348832723
hdc49-mcc10-01-0710-3804-028-tess0035.stratus.rno.ebay.com,5535,SUCCESS,1179.715196998124
hdc49-mcc10-01-0710-3908-020-tess0035.stratus.rno.ebay.com,5641,SUCCESS,1155.0879281919765
hdc49-mcc10-01-0710-3804-008-tess0035.stratus.rno.ebay.com,109082,SUCCESS,63.83196503021287
hdc49-mcc10-01-0710-2605-001-tess0035.stratus.rno.ebay.com,109038,SUCCESS,63.78832526034247
hdc49-mcc10-01-0710-3306-018-tess0035.stratus.rno.ebay.com,109119,SUCCESS,57.6266465939029
hdc49-mcc10-01-0910-1901-017-tess0028.stratus.rno.ebay.com,109183,SUCCESS,57.57217956128038
hdc49-mcc10-01-0710-3709-034-tess0035.stratus.rno.ebay.com,109212,SUCCESS,57.49333333333333
hdc49-mcc10-01-0710-4102-013-tess0035.stratus.rno.ebay.com,109073,SUCCESS,57.46478886174531
