host,duration,status,taskMetrics.shuffleWriteMetrics.bytesWritten.rateInKB
hdc49-mcc10-01-0710-2003-026-tess0035.stratus.rno.ebay.com,2554,SUCCESS,25.787225548902196
hdc49-mcc10-01-0710-2603-010-tess0035.stratus.rno.ebay.com,3442,SUCCESS,20.838709677419356
hdc49-mcc10-01-0710-2003-010-tess0035.stratus.rno.ebay.com,3520,SUCCESS,20.688774045363193
hdc49-mcc10-01-0710-3503-032-tess0035.stratus.rno.ebay.com,3550,SUCCESS,20.333522888825705
hdc49-mcc10-01-0710-3306-015-tess0035.stratus.rno.ebay.com,3673,SUCCESS,20.268554150632216
hdc49-mcc10-01-0710-3503-040-tess0035.stratus.rno.ebay.com,3961,SUCCESS,18.181100356597046
hdc49-mcc10-01-0710-3409-027-tess0035.stratus.rno.ebay.com,3547,SUCCESS,17.824786324786324
hdc49-mcc10-01-0910-1701-024-tess0028.stratus.rno.ebay.com,4450,SUCCESS,16.00951733514616
hdc49-mcc10-01-0710-2102-032-tess0035.stratus.rno.ebay.com,4986,SUCCESS,14.9357316087308
hdc49-mcc10-01-0710-2510-002-tess0035.stratus.rno.ebay.com,5357,SUCCESS,14.399407114624506
hdc49-mcc10-01-0910-1901-011-tess0028.stratus.rno.ebay.com,5359,SUCCESS,14.113702623906706
hdc49-mcc10-01-0910-1803-026-tess0028.stratus.rno.ebay.com,5379,SUCCESS,13.968219925911484
hdc49-mcc10-01-0910-1701-024-tess0028.stratus.rno.ebay.com,5361,SUCCESS,13.454071786954843
hdc49-mcc10-01-0910-1701-031-tess0028.stratus.rno.ebay.com,6164,SUCCESS,11.882546471459122
hdc49-mcc10-01-0710-4105-009-tess0035.stratus.rno.ebay.com,6582,SUCCESS,10.541246562786435
hdc49-mcc10-01-0710-3503-001-tess0035.stratus.rno.ebay.com,6601,SUCCESS,10.521792136543736
hdc49-mcc10-01-0710-3908-025-tess0035.stratus.rno.ebay.com,8011,SUCCESS,9.10871473354232
hdc49-mcc10-01-0910-1701-035-tess0028.stratus.rno.ebay.com,8950,SUCCESS,7.947699214365881
hdc49-mcc10-01-0710-4102-030-tess0035.stratus.rno.ebay.com,13482,SUCCESS,5.508888062476757
hdc49-mcc10-01-0710-4102-035-tess0035.stratus.rno.ebay.com,13141,SUCCESS,5.135669567872958
