accumulatorUpdates,attempt,duration,errorMessage,executorId,host,index,launchTime,speculative,status,taskId,taskLocality,taskMetrics.diskBytesSpilled,taskMetrics.executorBlockTime,taskMetrics.executorCpuTime,taskMetrics.executorDeserializeCpuTime,taskMetrics.executorDeserializeTime,taskMetrics.executorRunTime,taskMetrics.executorWaitTime,taskMetrics.inputMetrics.bytesRead,taskMetrics.inputMetrics.inputWaitTime,taskMetrics.inputMetrics.recordsRead,taskMetrics.jvmGcTime,taskMetrics.memoryBytesSpilled,taskMetrics.outputMetrics.bytesWritten,taskMetrics.outputMetrics.recordsWritten,taskMetrics.peakExecutionMemory,taskMetrics.resultSerializationTime,taskMetrics.resultSize,taskMetrics.shuffleReadMetrics.fetchWaitTime,taskMetrics.shuffleReadMetrics.localBlocksFetched,taskMetrics.shuffleReadMetrics.localBytesRead,taskMetrics.shuffleReadMetrics.recordsRead,taskMetrics.shuffleReadMetrics.remoteBlocksFetched,taskMetrics.shuffleReadMetrics.remoteBytesRead,taskMetrics.shuffleReadMetrics.remoteBytesReadToDisk,taskMetrics.shuffleWriteMetrics.bytesWritten,taskMetrics.shuffleWriteMetrics.recordsWritten,taskMetrics.shuffleWriteMetrics.writeTime
[],0,23936,Stage cancelled,743,hdc49-mcc10-01-0910-2703-017-tess0028.stratus.rno.ebay.com,0,2020-07-30T08:17:16.643GMT,False,KILLED,30947433,PROCESS_LOCAL,0,0,0,0,0,0,0,217585128,4,653813,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[],0,23906,Stage cancelled,743,hdc49-mcc10-01-0910-2703-017-tess0028.stratus.rno.ebay.com,1,2020-07-30T08:17:16.644GMT,False,KILLED,30947434,PROCESS_LOCAL,0,0,0,0,0,0,0,215722843,2,474394,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[],0,23914,Stage cancelled,743,hdc49-mcc10-01-0910-2703-017-tess0028.stratus.rno.ebay.com,2,2020-07-30T08:17:16.644GMT,False,KILLED,30947435,PROCESS_LOCAL,0,0,0,0,0,0,0,217694679,3,460474,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[],0,23933,Stage cancelled,743,hdc49-mcc10-01-0910-2703-017-tess0028.stratus.rno.ebay.com,3,2020-07-30T08:17:16.644GMT,False,KILLED,30947436,PROCESS_LOCAL,0,0,0,0,0,0,0,110717925,3,286720,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[],0,23906,Stage cancelled,743,hdc49-mcc10-01-0910-2703-017-tess0028.stratus.rno.ebay.com,4,2020-07-30T08:17:16.644GMT,False,KILLED,30947437,PROCESS_LOCAL,0,0,0,0,0,0,0,220177320,4,579549,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[],0,23906,Stage cancelled,743,hdc49-mcc10-01-0910-2703-017-tess0028.stratus.rno.ebay.com,5,2020-07-30T08:17:16.644GMT,False,KILLED,30947438,PROCESS_LOCAL,0,0,0,0,0,0,0,110806362,2,270336,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[],0,23931,Stage cancelled,743,hdc49-mcc10-01-0910-2703-017-tess0028.stratus.rno.ebay.com,6,2020-07-30T08:17:16.644GMT,False,KILLED,30947439,PROCESS_LOCAL,0,0,0,0,0,0,0,220842353,2,730298,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[],0,23907,Stage cancelled,743,hdc49-mcc10-01-0910-2703-017-tess0028.stratus.rno.ebay.com,7,2020-07-30T08:17:16.644GMT,False,KILLED,30947440,PROCESS_LOCAL,0,0,0,0,0,0,0,110053653,3,374137,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[],0,23914,Stage cancelled,743,hdc49-mcc10-01-0910-2703-017-tess0028.stratus.rno.ebay.com,8,2020-07-30T08:17:16.644GMT,False,KILLED,30947441,PROCESS_LOCAL,0,0,0,0,0,0,0,219896764,1,463036,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[],0,23906,Stage cancelled,743,hdc49-mcc10-01-0910-2703-017-tess0028.stratus.rno.ebay.com,9,2020-07-30T08:17:16.645GMT,False,KILLED,30947442,PROCESS_LOCAL,0,0,0,0,0,0,0,218919020,3,459864,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
