host,duration,status,taskMetrics.shuffleWriteMetrics.bytesWritten.rateInKB
hdc49-mcc10-01-0910-1901-023-tess0028.stratus.rno.ebay.com,7748,SUCCESS,16946.936532291813
hdc49-mcc10-01-0710-2102-025-tess0035.stratus.rno.ebay.com,8611,SUCCESS,15137.6956250779
hdc49-mcc10-01-0710-2603-039-tess0035.stratus.rno.ebay.com,9088,SUCCESS,14281.687940761636
hdc49-mcc10-01-0710-3708-028-tess0035.stratus.rno.ebay.com,9110,SUCCESS,14240.706247802133
hdc49-mcc10-01-0910-1701-021-tess0028.stratus.rno.ebay.com,9303,SUCCESS,13990.651963607048
hdc49-mcc10-01-0710-3804-020-tess0035.stratus.rno.ebay.com,9261,SUCCESS,13976.382322476695
hdc49-mcc10-01-0710-3302-013-tess0035.stratus.rno.ebay.com,9567,SUCCESS,13619.530671750588
hdc49-mcc10-01-0710-2604-032-tess0035.stratus.rno.ebay.com,9963,SUCCESS,12949.599957374254
hdc49-mcc10-01-0710-3409-037-tess0035.stratus.rno.ebay.com,10340,SUCCESS,12449.047628802622
hdc49-mcc10-01-0710-2604-019-tess0035.stratus.rno.ebay.com,10527,SUCCESS,12210.365226130652
hdc49-mcc10-01-0710-1903-036-tess0035.stratus.rno.ebay.com,11040,SUCCESS,11622.26368159204
hdc49-mcc10-01-0710-3908-001-tess0035.stratus.rno.ebay.com,11040,SUCCESS,11611.420122300784
hdc49-mcc10-01-0710-2104-028-tess0035.stratus.rno.ebay.com,12037,SUCCESS,10608.671903639697
hdc49-mcc10-01-0710-4102-016-tess0035.stratus.rno.ebay.com,12142,SUCCESS,10519.60593733772
hdc49-mcc10-01-0710-2605-022-tess0035.stratus.rno.ebay.com,12414,SUCCESS,10334.755062106517
hdc49-mcc10-01-0710-2605-004-tess0035.stratus.rno.ebay.com,13081,SUCCESS,9716.811180422264
hdc49-mcc10-01-0710-1903-024-tess0035.stratus.rno.ebay.com,15726,SUCCESS,8016.990495049505
hdc49-mcc10-01-0710-1903-024-tess0035.stratus.rno.ebay.com,29246,SUCCESS,4238.399127704117
hdc49-mcc10-01-0910-1710-017-tess0028.stratus.rno.ebay.com,29689,SUCCESS,4181.55313951488
hdc49-mcc10-01-0910-2703-021-tess0028.stratus.rno.ebay.com,86317,SUCCESS,1421.3647552971183
