host,duration,status,taskCpuRate,taskMetrics.executorRunTime,taskMetrics.executorCpuTime
hdc49-mcc10-01-0710-2202-007-tess0035.stratus.rno.ebay.com,36811,SUCCESS,0.9029142198562099,36442,32904
hdc49-mcc10-01-0710-2003-003-tess0035.stratus.rno.ebay.com,34224,RUNNING,,0,0
hdc49-mcc10-01-0710-2603-013-tess0035.stratus.rno.ebay.com,28348,RUNNING,,0,0
hdc49-mcc10-01-0710-2603-033-tess0035.stratus.rno.ebay.com,27245,RUNNING,,0,0
hdc49-mcc10-01-0710-3306-002-tess0035.stratus.rno.ebay.com,31261,RUNNING,,0,0
hdc49-mcc10-01-0710-3306-035-tess0035.stratus.rno.ebay.com,34222,RUNNING,,0,0
hdc49-mcc10-01-0710-2510-012-tess0035.stratus.rno.ebay.com,23143,RUNNING,,0,0
hdc49-mcc10-01-0710-1804-023-tess0035.stratus.rno.ebay.com,25710,RUNNING,,0,0
hdc49-mcc10-01-0910-1901-030-tess0028.stratus.rno.ebay.com,28656,RUNNING,,0,0
hdc49-mcc10-01-0710-2603-028-tess0035.stratus.rno.ebay.com,23590,RUNNING,,0,0
hdc49-mcc10-01-0710-4105-038-tess0035.stratus.rno.ebay.com,22011,RUNNING,,0,0
hdc49-mcc10-01-0910-1901-018-tess0028.stratus.rno.ebay.com,28964,RUNNING,,0,0
hdc49-mcc10-01-0910-2703-014-tess0028.stratus.rno.ebay.com,35056,RUNNING,,0,0
hdc49-mcc10-01-0710-2604-004-tess0035.stratus.rno.ebay.com,36535,RUNNING,,0,0
hdc49-mcc10-01-0710-3503-007-tess0035.stratus.rno.ebay.com,25890,RUNNING,,0,0
hdc49-mcc10-01-0710-2603-013-tess0035.stratus.rno.ebay.com,28479,RUNNING,,0,0
hdc49-mcc10-01-0710-3302-003-tess0035.stratus.rno.ebay.com,35638,RUNNING,,0,0
hdc49-mcc10-01-0710-3908-004-tess0035.stratus.rno.ebay.com,30535,RUNNING,,0,0
hdc49-mcc10-01-0710-3804-038-tess0035.stratus.rno.ebay.com,34730,RUNNING,,0,0
hdc49-mcc10-01-0710-4105-040-tess0035.stratus.rno.ebay.com,39911,RUNNING,,0,0
