accumulatorUpdates,attempt,duration,executorId,host,index,launchTime,speculative,status,taskId,taskLocality,taskMetrics.diskBytesSpilled,taskMetrics.executorBlockTime,taskMetrics.executorCpuTime,taskMetrics.executorDeserializeCpuTime,taskMetrics.executorDeserializeTime,taskMetrics.executorRunTime,taskMetrics.executorWaitTime,taskMetrics.inputMetrics.bytesRead,taskMetrics.inputMetrics.inputWaitTime,taskMetrics.inputMetrics.recordsRead,taskMetrics.jvmGcTime,taskMetrics.memoryBytesSpilled,taskMetrics.outputMetrics.bytesWritten,taskMetrics.outputMetrics.recordsWritten,taskMetrics.peakExecutionMemory,taskMetrics.resultSerializationTime,taskMetrics.resultSize,taskMetrics.shuffleReadMetrics.fetchWaitTime,taskMetrics.shuffleReadMetrics.localBlocksFetched,taskMetrics.shuffleReadMetrics.localBytesRead,taskMetrics.shuffleReadMetrics.recordsRead,taskMetrics.shuffleReadMetrics.remoteBlocksFetched,taskMetrics.shuffleReadMetrics.remoteBytesRead,taskMetrics.shuffleReadMetrics.remoteBytesReadToDisk,taskMetrics.shuffleWriteMetrics.bytesWritten,taskMetrics.shuffleWriteMetrics.recordsWritten,taskMetrics.shuffleWriteMetrics.writeTime
[],0,27189,1014,hdc49-mcc10-01-0710-3709-004-tess0035.stratus.rno.ebay.com,0,2020-07-30T08:19:14.890GMT,False,SUCCESS,702463,PROCESS_LOCAL,0,0,23448,7257675,18,27034,0,298799223,0,1671193,2783,0,0,0,67141632,0,2493,0,0,0,0,0,0,0,594,1,24201
[],0,18052,1346,hdc49-mcc10-01-0710-1903-037-tess0035.stratus.rno.ebay.com,1,2020-07-30T08:19:14.891GMT,False,SUCCESS,702464,PROCESS_LOCAL,0,0,14668,2460901,17,17896,0,277438980,0,1555153,2230,0,0,0,67141632,0,2493,0,0,0,0,0,0,0,3220,6,28434
[],0,17637,1246,hdc49-mcc10-01-0710-3908-027-tess0035.stratus.rno.ebay.com,2,2020-07-30T08:19:14.891GMT,False,SUCCESS,702465,PROCESS_LOCAL,0,0,14721,2466161,18,17482,0,340103057,0,1890847,2012,0,0,0,67141632,0,2493,0,0,0,0,0,0,0,660,1,23607
[],0,16087,1320,hdc49-mcc10-01-0710-2604-032-tess0035.stratus.rno.ebay.com,3,2020-07-30T08:19:14.891GMT,False,SUCCESS,702466,PROCESS_LOCAL,0,0,13423,2477738,17,15932,0,263073539,0,1456938,2057,0,0,0,67141632,0,2493,0,0,0,0,0,0,0,666,1,26378
[],0,18619,1182,hdc49-mcc10-01-0710-2104-024-tess0035.stratus.rno.ebay.com,4,2020-07-30T08:19:14.891GMT,False,SUCCESS,702467,PROCESS_LOCAL,0,0,15890,3387549,12,18467,0,298560553,0,1682361,2387,0,0,0,67141632,0,2493,0,0,0,0,0,0,0,1923,3,26328
[],0,15009,1278,hdc49-mcc10-01-0710-2202-010-tess0035.stratus.rno.ebay.com,5,2020-07-30T08:19:14.891GMT,False,SUCCESS,702468,PROCESS_LOCAL,0,0,12701,2566594,30,14842,0,259633815,0,1433160,1301,0,0,0,32768,0,2359,0,0,0,0,0,0,0,0,0,0
[],0,28594,1303,hdc49-mcc10-01-0910-2703-003-tess0028.stratus.rno.ebay.com,6,2020-07-30T08:19:14.892GMT,False,SUCCESS,702469,PROCESS_LOCAL,0,0,24210,8729939,28,28419,0,286839182,0,1591985,3608,0,0,0,67141632,1,2536,0,0,0,0,0,0,0,2086,4,103262
[],0,18194,1292,hdc49-mcc10-01-0710-3302-019-tess0035.stratus.rno.ebay.com,7,2020-07-30T08:19:14.892GMT,False,SUCCESS,702470,PROCESS_LOCAL,0,0,15450,2976270,11,18045,0,277081098,0,1539447,1955,0,0,0,67141632,0,2493,0,0,0,0,0,0,0,1172,2,20829
[],0,20698,31,hdc49-mcc10-01-0710-3708-031-tess0035.stratus.rno.ebay.com,8,2020-07-30T08:19:14.892GMT,False,SUCCESS,702471,PROCESS_LOCAL,0,0,17347,2943390,13,20545,0,274322032,0,1531335,2552,0,0,0,67141632,0,2487,0,0,0,0,0,0,0,1166,2,23400
[],0,20857,1268,hdc49-mcc10-01-0710-3503-028-tess0035.stratus.rno.ebay.com,9,2020-07-30T08:19:14.892GMT,False,SUCCESS,702472,PROCESS_LOCAL,0,0,16715,4162275,33,20684,0,275706531,0,1525106,3489,0,0,0,67141632,0,2489,0,0,0,0,0,0,0,2321,4,56844
